,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
1763,140000000,Walt Disney Pictures,USA,Other,Action,305413918,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,9.07.2003 00:00,143,8,Johnny Depp,886092,Ted Elliott,2003,1,1.181527986,120,FALSE,22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action",en,US,"exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga",2003
1764,30000000,Miramax,USA,Other,Action,70099045,Kill Bill: Vol. 1,R,10.10.2003 00:00,111,8.1,Uma Thurman,807087,Quentin Tarantino,2003,1,1.336634833,130,FALSE,24,tt0266697,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",25.261865,Go for the kill.,Kill Bill: Vol. 1,"Action, Crime","en, ja, fr",US,"japan, coma, martial arts, kung fu, underworld, yakuza, sword, bride, revenge, gore, female yakuza, blood, wedding, samurai sword, part animation",2003
1765,94000000,New Line Cinema,USA,Other,Adventure,377845905,The Lord of the Rings: The Return of the King,PG-13,17.12.2003 00:00,201,8.9,Elijah Wood,1332020,J.R.R. Tolkien,2003,1,3.019637287,300,FALSE,122,tt0167260,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",en,"NZ, US","elves, orcs, middle-earth (tolkien), based on novel, suspicion, bravery, war, honor, troll, brutality, violence, ghost, end of trilogy, quest, sword and sorcery",2003
1766,40000000,Universal Pictures,Other,Other,Comedy,59696144,Love Actually,R,14.11.2003 00:00,135,7.7,Hugh Grant,346409,Richard Curtis,2003,1,0.4924036,50,FALSE,508,tt0314331,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,10.586815,The ultimate romantic comedy.,Love Actually,"Comedy, Romance, Drama","en, fr, pt","GB, US","london england, male nudity, female nudity, love at first sight, usa president, marseille, office, christmas party, marriage proposal, bars and restaurants, press conference, language barrier, prime minister, rock star, tv show, metal detector, war on terror, school performance, multiple storylines",2003
1767,25000000,Warner Bros.,USA,Clint Eastwood,Crime,90135191,Mystic River,R,15.10.2003 00:00,138,8,Sean Penn,361466,Brian Helgeland,2003,1,2.60540764,260,FALSE,322,tt0327056,Mystic River,"A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present.",12.602438,"We bury our sins, we wash them clean.",Mystic River,"Thriller, Crime, Drama, Mystery",en,US,"child abuse, sexual abuse, loss of child, repayment, suppressed past, arbitrary law, boston, workers' quarter, reference to sprite, child",2003
1768,137000000,Universal Pictures,USA,Other,Action,132177234,Hulk,PG-13,20.06.2003 00:00,138,5.7,Eric Bana,223943,Stan Lee,2003,0,-0.035202672,0,FALSE,1927,tt0286716,Hulk,"Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.",15.422638,Unleash the hero within,Hulk,"Drama, Action, Science Fiction","en, es",US,"california, san francisco, monster, general, gun, dna, mutation, psychology, berkeley, transformation, frog, president, marvel comic, superhero, golden gate bridge, doctor, fear, scientist, dog, desert, anger, mirror, phone, military, cell, hulk, superhuman strength, repressed memory, repression",2003
1769,94000000,Other,USA,Other,Animation,380843261,Finding Nemo,G,30.05.2003 00:00,100,8.1,Albert Brooks,772029,Andrew Stanton,2003,1,3.051524053,310,FALSE,12,tt0266543,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,"Animation, Family",en,US,"father son relationship, harbor, underwater, fish tank, great barrier reef, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father",2003
1770,4000000,Other,USA,Other,Drama,44585453,Lost in Translation,R,3.10.2003 00:00,102,7.8,Bill Murray,345221,Sofia Coppola,2003,1,10.14636325,1010,FALSE,153,tt0335266,Lost in Translation,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",11.609441,Everyone wants to be found.,Lost in Translation,Drama,"ja, en","JP, US","upper class, hotel room, age difference, commercial, karaoke, homesickness, culture clash, jet lag, pop star, unsociability, aftercreditsstinger, woman director",2003
1771,9200000,New Line Cinema,USA,Other,Horror,80571655,The Texas Chainsaw Massacre,R,17.10.2003 00:00,98,6.2,Jessica Biel,114916,Kim Henkel,2003,1,7.757788587,780,FALSE,9373,tt0324216,The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",7.810068,What you know about fear... doesn't even come close.,The Texas Chainsaw Massacre,Horror,en,US,"trauma, psychopath, stalker, friends, murder, gore, blood, hitchhiker, chainsaw, torture, violence, cannibal, killer, family",2003
1772,1500000,Fox Searchlight Pictures,USA,Other,Drama,4599680,Thirteen,R,19.09.2003 00:00,100,6.8,Evan Rachel Wood,72230,Catherine Hardwicke,2003,1,2.066453333,210,FALSE,11023,tt0328538,Thirteen,"Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",14.379879,It's happening so fast.,Thirteen,"Crime, Drama","en, pt, es",US,"cheating, dysfunctional family, teen angst, underage drinking, domestic violence, makeover, drug overdose, teacher student relationship, street life, movie theater, razor blade, tattoo shop, peer pressure, shoe store, overachiever, reference to jack black, flunking out of school, promiscuous mother, glue sniffing, woman director",2003
