,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
0,3,1,-0.7645905265383113,0.0010559235395838,5.6,27008,-0.5523204361165933,17,-1.1277210214391336,6,2009,45,10.279603,18000000,1,0.273743889
1,4,1,-0.8434873404337755,-1.0796835124538504,6.8,20514,-0.5208190020748772,10,0.4948089884621806,5,2009,478,6.036408,19000000,0,-0.976097421
2,4,1,-0.6660849264359979,-0.9279371454797226,6.5,35116,-0.9618390786589038,10,0.0891764859868523,6,2009,390,6.632194,5000000,0,-0.7050984
3,2,1,-0.657228169840711,2.1066937238421417,5.6,35845,1.0857541340526489,7,-1.1277210214391336,1,2009,422,18.54675,70000000,0,-0.4868146
4,2,0,-0.7553206976189644,0.768685174323835,6.3,27771,0.9282469638440678,10,-0.1812451823300335,2,2009,359,13.293466,65000000,0,-0.699260554
5,3,1,-0.7087528676741978,-0.7518860834162403,4.8,31604,0.7077369255520545,1,-2.209407694706676,4,2009,292,7.323405,58000000,0,-0.4899985
6,3,1,-0.7980979815311802,0.8445904499416954,5.6,24250,-0.4263146999497285,10,-1.1277210214391336,0,2009,91,13.591485,22000000,0,-0.443957409
7,4,1,-0.7784648969523273,0.1827664073990886,6.7,25866,-0.174303227615999,10,0.3595981543037382,3,2009,183,10.993034,30000000,0,-0.751899767
8,4,0,-0.667785812476245,0.3235115409962766,7.6,34976,-0.8043319084503229,2,1.576495661729723,3,2009,379,11.545627,10000000,0,-0.9550442
9,4,0,-0.6937364737760158,-1.1907658386159174,6.8,32840,-1.0090912297214782,10,0.4948089884621806,4,2009,381,5.600277,3500000,0,-0.987296571
10,3,1,-0.7616382743398823,-0.0824704690440994,5.7,27251,-0.2688075297411476,12,-0.99251018728069,0,2009,185,9.951662,27000000,0,-0.407819407
11,4,1,-0.9214122194490983,-1.132346189692051,6.4,14100,-0.6468247382417419,10,-0.04603434817159,4,2009,51,5.829644,15000000,0,-0.7092968
12,3,1,-0.8965671340754883,-0.7841603243200658,5.9,16145,-0.5838218701583096,10,-0.7220885189638041,4,2009,329,7.19669,17000000,0,-0.490451882
13,3,1,-0.7489909717120447,-0.8301707613031576,7.4,28292,-0.9303376446171876,10,1.3060739934128385,4,2009,391,7.016044,6000000,1,0.111785333
14,4,0,-0.8237935099249138,-0.7650996362225345,6.8,22135,-1.094145101634112,10,0.4948089884621806,5,2009,165,7.271526,800000,0,-0.791275
15,4,1,-0.8699482675456204,-0.2841575402260908,4.9,18336,-0.99334051270062,10,-2.0741968605482324,4,2009,146,9.159799,4000000,0,-0.974565
16,4,1,-0.7173909389214529,-1.2163223815057873,7.2,30893,-0.9145869275963296,10,1.0356523250959524,6,2009,14,5.499937,6500000,0,-0.989748154
17,3,1,-0.8498899614567058,-1.4254532988358684,7.1,19987,-0.8830854935546134,10,0.9004414909375088,6,2009,71,4.678848,7500000,1,0.2235404
18,3,0,-0.8750144781083565,-1.4054795132073403,6.8,17919,-0.7413290403668905,10,0.4948089884621806,6,2009,340,4.757269,12000000,0,-0.9542555
19,4,1,-0.958139208732435,-1.877676758261181,6.9,11077,-0.9618390786589038,10,0.6300198226206241,6,2009,309,2.90333,5000000,0,-0.8962956
20,4,1,-1.050764602809894,-2.0621239877191675,5.9,3453,-0.8043319084503229,10,-0.7220885189638041,12,2009,448,2.179154,10000000,0,-0.9998215
21,3,1,2.576690756853196,0.8959928742975051,7.5,302029,0.7707397936354868,17,1.4412848275712806,0,2010,317,13.793301,60000000,0,-0.4750955
