,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
0,18000000,Universal Pictures,USA,Other,Drama,22927390,Love Happens,PG-13,18.09.2009 00:00,100,5.6,Jennifer Aniston,27008,Brandon Camp,2009,1,0.273743889,30,FALSE,25643,tt0899106,Love Happens,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",10.279603,Sometimes when you least expect it...,Love Happens,"Drama, Romance",en,"CA, GB, US","hotel, florist, forest, grief, seminar, motivational speaker",2009,-0.5523204361165933,-0.498895244377247,-1.1277210214391336,-0.7645905265383113,0.001055923539583822
1,19000000,Other,USA,Other,Crime,454149,Crossing Over,R,24.07.2009 00:00,113,6.8,Harrison Ford,20514,Wayne Kramer,2009,0,-0.976097421,-100,FALSE,15577,tt0924129,Crossing Over,"Immigrants from around the world enter Los Angeles every day, with hopeful visions of a better life, but little notion of what that life may cost. Their desperate scenarios test the humanity of immigration enforcement officers. In Crossing Over, writer-director Wayne Kramer explores the allure of the American dream, and the reality that immigrants find – and create -- in 21st century L.A.",6.036408,Every day thousands of people illegally cross our borders... only one thing stands in their way. America.,Crossing Over,"Crime, Drama",en,US,"immigrant, los angeles",2009,-0.5208190020748772,0.5289135175558777,0.4948089884621806,-0.8434873404337755,-1.0796835124538504
2,5000000,Other,USA,Other,Drama,1474508,The Joneses,R,23.04.2010 00:00,96,6.5,Demi Moore,35116,Randy T. Dinzler,2009,0,-0.7050984,-70,FALSE,41479,tt1285309,The Joneses,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",6.632194,"They're not just living the American dream, they're selling it.",The Joneses,"Comedy, Drama","cs, en, fr",US,"independent film, duringcreditsstinger",2010,-0.9618390786589038,-0.8151440942028239,0.08917648598685234,-0.6660849264359979,-0.9279371454797226
3,70000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Adventure,35922978,The Pink Panther 2,PG,6.02.2009 00:00,92,5.6,Steve Martin,35845,Scott Neustadter,2009,0,-0.4868146,-50,FALSE,15159,tt0838232,The Pink Panther 2,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",18.54675,Inspect the unexpected.,The Pink Panther 2,"Comedy, Mystery",en,US,"diamond, clouseau, pink panther",2009,1.0857541340526489,-1.1313929440284007,-1.1277210214391336,-0.657228169840711,2.1066937238421417
4,65000000,Other,Other,Other,Animation,19548064,Astro Boy,PG,23.10.2009 00:00,94,6.3,Freddie Highmore,27771,Osamu Tezuka,2009,0,-0.699260554,-70,FALSE,16577,tt0375568,Astro Boy,"Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.",13.293466,Have a blast.,Astro Boy,"Animation, Action, Family, Science Fiction",en,"HK, JP, US",superhero,2009,0.9282469638440678,-0.9732685191156123,-0.18124518233003356,-0.7553206976189644,0.768685174323835
5,58000000,Columbia Pictures,USA,Other,Comedy,29580087,Did You Hear About the Morgans?,PG-13,18.12.2009 00:00,100,4.8,Hugh Grant,31604,Marc Lawrence,2009,0,-0.4899985,-50,FALSE,24438,tt1314228,Did You Hear About the Morgans?,"In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.",7.323405,We're not in Manhattan anymore.,Did You Hear About the Morgans?,Comedy,"en, it, ru, es, uk",US,"witness protection, comedy, duringcreditsstinger",2009,0.7077369255520545,-0.498895244377247,-2.209407694706676,-0.7087528676741978,-0.7518860834162403
6,22000000,Other,USA,Renny Harlin,Action,12232937,12 Rounds,PG-13,27.03.2009 00:00,108,5.6,John Cena,24250,Daniel Kunka,2009,0,-0.443957409,-40,FALSE,17134,tt1160368,12 Rounds,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",13.591485,Survive all 12,12 Rounds,"Action, Adventure, Drama, Thriller","cs, en",US,"police, cops, cat and mouse, family, revenge drama",2009,-0.42631469994972854,0.13360245527390663,-1.1277210214391336,-0.7980979815311802,0.8445904499416954
7,30000000,Other,USA,Other,Biography,7443007,Taking Woodstock,R,28.08.2009 00:00,120,6.7,Demetri Martin,25866,James Schamus,2009,0,-0.751899767,-80,FALSE,26320,tt1127896,Taking Woodstock,"The story of Elliot Tiber and his family, who inadvertently played a pivotal role in making the famed Woodstock Music and Arts Festival into the happening that it was. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers thinking he could drum up some much-needed business for his parents' run-down motel. Three weeks later, half a million people are on their way to his neighbor’s farm in White Lake, New York, and Elliot finds himself swept up in a generation-defining experience that would change his life–and American culture–forever.",10.993034,A Generation Began In His Backyard.,Taking Woodstock,"Music, Comedy, Drama",en,US,"music festival, independent film, catskills, dog tags",2009,-0.174303227615999,1.0823490047506372,0.3595981543037382,-0.7784648969523273,0.18276640739908867
8,10000000,Columbia Pictures Corporation,Other,Other,Biography,449558,The Damned United,R,27.03.2009 00:00,98,7.6,Colm Meaney,34976,Peter Morgan,2009,0,-0.9550442,-100,FALSE,21641,tt1226271,The Damned United,"Taking over Leeds United, Brian Clough's abrasive approach and his clear dislike of the players' dirty style of play make it certain there is going to be friction. Glimpses of his earlier career help explain both his hostility to previous manager Don Revie and how much he is missing right-hand man Peter Taylor",11.545627,They love me for what I'm not... ...they hate me for what I am.,The Damned United,Drama,en,GB,"england, leeds united, sport, brighton, soccer, cup, derby county, management, soccer team",2009,-0.8043319084503229,-0.6570196692900355,1.576495661729723,-0.667785812476245,0.3235115409962766
9,3500000,Other,Other,Other,Comedy,44462,Defendor,R,13.05.2010 00:00,101,6.8,Woody Harrelson,32840,Peter Stebbings,2009,0,-0.987296571,-100,FALSE,34769,tt1303828,Defendor,"A crooked cop, a mob boss and the young girl they abuse are the denizens of a city's criminal underworld. It's a world that ordinary Arthur Poppington doesn't understand and doesn't belong in, but is committed to fighting when he changes into a vigilante super-hero of his own making, Defendor. With no power other than courage Defendor takes to the streets to protect the city's innocents.",5.600277,An unexpected hero will rise.,Defendor,"Drama, Action, Comedy, Crime",en,"CA, GB, US","crime fighter, delusion, superhero",2010,-1.0090912297214782,-0.41983303192085286,0.4948089884621806,-0.6937364737760158,-1.1907658386159174
