,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,title,genres_edited,spoken_languages_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm
0,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,PG,1.08.1986 00:00,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",Flight of the Navigator,"Family, Science Fiction, Adventure",en,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.8651608594318073,-1.081708827180084,0.7558389551693294,-0.32274907031769706
1,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,R,23.10.1986 00:00,120,7.8,Isabella Rossellini,146768,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",Blue Velvet,"Crime, Drama, Mystery, Thriller",en,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-0.9920170787881254,1.0503464786880992,1.8188588906198546,1.5975260136108755
2,16000000,Other,Other,Other,Action,5900000,Highlander,R,7.03.1986 00:00,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,Highlander,"Adventure, Action, Fantasy",en,"new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.5691630142670652,0.7660724379056746,1.1101789336528378,0.866812976371212
3,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,PG-13,28.03.1986 00:00,100,6.8,Corey Haim,12228,David Seltzer,1986,1,0.366666667,40,FALSE,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",Lucas,"Comedy, Drama, Romance",en,"high school, american football team, cheerleading",1986,-0.9920170787881254,-0.37102372522402305,0.6377256290081593,-0.7483299573308141
4,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy","cn, en","kung fu, chinatown, magic, mystery",1986,-0.188594356198111,-0.4420922354196291,1.228292259814007,0.8113312333985908
5,15000000,Other,USA,Other,Crime,8620929,Manhunter,R,15.08.1986 00:00,120,7.2,William Petersen,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",Manhunter,"Crime, Horror, Thriller",en,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.6114484207191712,1.0503464786880992,1.1101789336528378,-0.019988232801482587
6,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,R,25.07.1986 00:00,98,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",Maximum Overdrive,"Action, Drama, Horror, Science Fiction",en,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.8228754529797013,-0.5131607456152353,-1.0158609372482135,-0.527710694655586
7,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,94,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",Little Shop of Horrors,"Horror, Comedy, Music",en,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.188594356198111,-0.7974347863976596,0.7558389551693294,-0.03172274349305206
8,2700000,Other,USA,Other,Action,3500000,The Wraith,PG-13,21.11.1986 00:00,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",The Wraith,"Romance, Science Fiction, Horror, Action, Crime",en,"male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.1315589200800753,-0.8685032965932658,-0.4252943064423658,-0.7586695781927765
9,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,PG,1.08.1986 00:00,110,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,Howard the Duck,"Comedy, Fantasy, Science Fiction","en, pt","duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.23425970832294923,0.339661376732038,-1.9607675465375705,-0.3334897220056715
10,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,The Texas Chainsaw Massacre 2,Horror,en,"hammer, gore, slasher, chainsaw, b horror",1986,-1.0469881071758633,-1.1527773373756902,-0.7796342849258753,-0.5909689484282665
11,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,5.12.1986 00:00,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",Heartbreak Ridge,"Action, Comedy, Drama, War","es, en","recruit, officer, battle assignment, marine, platoon, combat",1986,-0.6114484207191712,1.76103158064416,0.6377256290081593,-0.3869488747253625
12,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,PG-13,12.12.1986 00:00,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",The Golden Child,"Action, Adventure, Comedy","cs, en, it","monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.188594356198111,-0.7974347863976596,-0.4252943064423658,-0.21183789274106496
13,1900000,Other,USA,Other,Crime,4600000,River's Edge,R,8.05.1987 00:00,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",River's Edge,"Crime, Drama",en,"sex, police, friends, murder",1987,-1.1653872452417602,-0.4420922354196291,0.9920656074916677,-0.737275455431178
14,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,PG,12.12.1986 00:00,104,6.4,Steve Martin,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.",¡Three Amigos!,"Comedy, Western","en, de, es","mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.188594356198111,-0.08674968444159861,0.16527232436348183,0.03939920169403841
15,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17.10.1986 00:00,119,7.0,Paul Newman,62495,Walter Tevis,1986,1,2.789418986,280,FALSE,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",The Color of Money,Drama,"en, es","bar, billard, talent, hustler, sport",1986,-0.6621909084616985,0.9792779684924929,0.8739522813304985,0.12813163097991814
16,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,PG,26.03.1986 00:00,91,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651,270,FALSE,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",The Money Pit,"Comedy, Romance",en,"rock star, price, chaos, house, home ownership",1986,-0.8228754529797013,-1.010640316984478,0.04715899820231167,-0.24181058795474686
17,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,PG,26.11.1986 00:00,117,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",The Mosquito Coast,"Adventure, Drama",en,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.188594356198111,0.8371409481012807,0.40149897668582,-0.5591828964360954
18,4500000,Other,USA,Other,Horror,1261000,From Beyond,R,24.10.1986 00:00,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",From Beyond,"Horror, Science Fiction, Fantasy",en,"human experimentation, h.p. lovecraft, parallel world",1986,-1.0554451884662843,-1.3659828679625086,0.5196123028469902,-0.6714715277194645
19,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",en,"time travel, high school reunion",1986,-0.48459220136285314,-0.1578181946372047,0.04715899820231167,-0.4641037184255035
20,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,91,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",Poltergeist II: The Other Side,"Horror, Thriller",en,"monster, poltergeist, supernatural powers, family secrets",1986,-0.4423067949107471,-1.010640316984478,-0.6615209587647051,-0.6011516441843981
21,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,PG,6.06.1986 00:00,107,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",SpaceCamp,"Family, Adventure",en,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.48459220136285314,0.1264558461452197,-0.7796342849258753,-0.7613024327461598
22,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,G,2.07.1986 00:00,74,7.2,Vincent Price,36539,Peter Young,1986,1,1.757142857,180,FALSE,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",The Great Mouse Detective,"Comedy, Animation, Family",en,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.6537338271712773,-2.2188049903097817,1.1101789336528378,-0.3244403742360957
23,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,84,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",The Transformers: The Movie,Animation,"en, ja","toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-0.9920170787881254,-1.5081198883537206,1.228292259814007,-0.3755282142454546
24,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,R,22.08.1986 00:00,88,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",Night of the Creeps,"Comedy, Horror, Science Fiction",en,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0343024852402314,-1.2238458475712963,0.6377256290081593,-0.6812183204038439
25,6500000,Other,USA,Other,Crime,2347000,At Close Range,R,18.04.1986 00:00,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,0,-0.638923077,-60,FALSE,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",At Close Range,"Crime, Drama",en,"rape, 1970s, gun, sociopath, drug",1986,-0.9708743755620723,0.4107298869276441,0.8739522813304985,-0.759157789633139
26,20000000,Paramount Pictures,USA,Other,Comedy,25314289,Heartburn,R,25.07.1986 00:00,108,6.1,Meryl Streep,7570,Nora Ephron,1986,1,0.26571445,30,FALSE,13818,tt0091188,Heartburn,"Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",Heartburn,"Comedy, Drama, Romance",en,"journalist, wife husband relationship, infidelity",1986,-0.4000213884586411,0.1975243563408258,-0.1890676541200276,-0.8295474176596858
27,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697512,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",The Clan of the Cave Bear,"Adventure, Drama",en,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.6114484207191712,-0.5131607456152353,-1.1339742634093837,-0.8684299716599828
28,12000000,Other,USA,Other,Action,17768900,The Delta Force,R,14.02.1986 00:00,125,5.6,Chuck Norris,15819,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,The Delta Force,"Action, Thriller","ar, en, el, he","terrorist, airplane hijacking, covert operation",1986,-0.7383046400754892,1.4056890296661295,-0.7796342849258753,-0.6857168401043268
29,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14.03.1986 00:00,112,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",Gung Ho,"Comedy, Drama",en,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.48459220136285314,0.48179839712325023,-0.07095432795885744,-0.787787903385824
30,8700000,Other,USA,Other,Action,4865912,Band of the Hand,R,11.04.1986 00:00,109,6.3,Stephen Lang,2297,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,Band of the Hand,"Action, Crime, Drama",en,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.8778464813674391,0.2685928665364319,0.04715899820231167,-0.9214880935536617
