,budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,score_norm,votes_norm,popularity_norm
0,9000000,Walt Disney Pictures,Other,18564613,Flight of the Navigator,1.08.1986 00:00,6.9,Joey Cramer,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",5.526865,Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",en,US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.9214876699767689,0.7217191942675317,-0.40207883249681564,-0.7543329576734847
1,6000000,Other,Other,8551228,Blue Velvet,23.10.1986 00:00,7.8,Isabella Rossellini,146768,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.882247,It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",en,US,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-1.0487424347635963,1.7842518513411088,1.3345564724563768,-0.09416802172864674
2,16000000,Other,Other,5900000,Highlander,7.03.1986 00:00,7.2,Christopher Lambert,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,16.870392,There can be only one.,Highlander,"Adventure, Action, Fantasy",en,"GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.6245598854741714,1.0758967466253908,0.6737229966275678,2.425023416512758
3,6000000,Twentieth Century Fox Film Corporation,Other,8200000,Lucas,28.03.1986 00:00,6.8,Corey Haim,12228,David Seltzer,1986,1,0.366666667,40,FALSE,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",4.57535,It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",en,US,"high school, american football team, cheerleading",1986,-1.0487424347635963,0.6036600101482448,-0.7869605609980461,-1.021022963381923
4,25000000,Twentieth Century Fox Film Corporation,Other,11100000,Big Trouble in Little China,2.07.1986 00:00,7.3,Kurt Russell,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",11.109932,Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy","cn, en",US,"kung fu, chinatown, magic, mystery",1986,-0.24279559111368892,1.1939559307446768,0.6235470846277762,0.810485432052997
5,15000000,Other,Other,8620929,Manhunter,15.08.1986 00:00,7.2,William Petersen,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",0.338943,Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",en,US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.6669781404031139,1.0758967466253908,-0.12827162446275436,-2.208400363647045
6,10000000,Other,Other,7433663,Maximum Overdrive,25.07.1986 00:00,5.4,Emilio Estevez,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",6.614078,Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",en,US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.8790694150478263,-1.0491685675217644,-0.587439563344569,-0.44960960472971795
7,25000000,Other,Other,38747385,Little Shop of Horrors,19.12.1986 00:00,6.9,Rick Moranis,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",7.409179,Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",en,US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.24279559111368892,0.7217191942675317,-0.13888394023140924,-0.22675921327106
8,2700000,Other,Other,3500000,The Wraith,21.11.1986 00:00,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",7.657918,He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime",en,"US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.1887226760291065,-0.45887264692533225,-0.7963113830646321,-0.15704280803319082
9,35000000,Universal Pictures,Other,16295774,Howard the Duck,1.08.1986 00:00,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,10.722672,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction","en, pt",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.18138695817573602,-1.9936420404760564,-0.4117923340027464,0.701944450974769
