,budget,company,country,director,genre,gross,name,released,runtime,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,tagline,title,genres_edited,production_countries_edited,year_released
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,22.08.1986 00:00,89,299174,Stephen King,1986,1,5.53592675,550,235,tt0092005,Stand by Me,15.206957,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand by Me,"Crime, Drama",US,1986
1,6000000,Paramount Pictures,USA,Other,Comedy,70136369,Ferris Bueller's Day Off,11.06.1986 00:00,103,264740,John Hughes,1986,1,10.68939483,1070,9377,tt0091042,Ferris Bueller's Day Off,12.724645,One man's struggle to take it easy.,Ferris Bueller's Day Off,Comedy,US,1986
2,15000000,Paramount Pictures,USA,Other,Action,179800601,Top Gun,16.05.1986 00:00,110,236909,Jim Cash,1986,1,10.98670673,1100,744,tt0092099,Top Gun,20.301019,Up there with the best of the best.,Top Gun,"Action, Romance, War",US,1986
3,18500000,Twentieth Century Fox Film Corporation,USA,Other,Action,85160248,Aliens,18.07.1986 00:00,137,540152,James Cameron,1986,1,3.603256649,360,679,tt0090605,Aliens,21.761179,This Time It's War,Aliens,"Horror, Action, Thriller, Science Fiction","GB, US",1986
4,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,1.08.1986 00:00,90,36636,Mark H. Baker,1986,1,1.062734778,110,10122,tt0091059,Flight of the Navigator,5.526865,Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",US,1986
5,6000000,Other,Other,Oliver Stone,Drama,138530565,Platoon,6.02.1987 00:00,120,317585,Oliver Stone,1986,1,22.0884275,2210,792,tt0091763,Platoon,18.206972,The first casualty of war is innocence.,Platoon,"Drama, War, Action","GB, US",1987
6,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,23.10.1986 00:00,120,146768,David Lynch,1986,1,0.425204667,40,793,tt0090756,Blue Velvet,7.882247,It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",US,1986
7,9000000,Paramount Pictures,USA,Other,Comedy,40471663,Pretty in Pink,28.02.1986 00:00,96,60565,John Hughes,1986,1,3.496851444,350,11522,tt0091790,Pretty in Pink,8.568378,Blane's a pretty cool guy. Andie's pretty in pink. And Ducky's pretty crazy.,Pretty in Pink,Comedy,US,1986
8,8800000,Other,Other,Other,Adventure,174635000,Crocodile Dundee,26.09.1986 00:00,97,79465,Ken Shadie,1986,1,18.84488636,1880,9671,tt0090555,Crocodile Dundee,7.791212,There's a little of him in all of us.,Crocodile Dundee,"Adventure, Comedy",AU,1986
9,16000000,Other,Other,Other,Action,5900000,Highlander,7.03.1986 00:00,116,104860,Gregory Widen,1986,0,-0.63125,-60,8009,tt0091203,Highlander,16.870392,There can be only one.,Highlander,"Adventure, Action, Fantasy","GB, US",1986
10,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,28.03.1986 00:00,100,12228,David Seltzer,1986,1,0.366666667,40,13346,tt0091445,Lucas,4.57535,It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",US,1986
11,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,2.07.1986 00:00,99,101678,Gary Goldman,1986,0,-0.556,-60,6978,tt0090728,Big Trouble in Little China,11.109932,Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",US,1986
12,15000000,Other,USA,Other,Crime,8620929,Manhunter,15.08.1986 00:00,120,54000,Thomas Harris,1986,0,-0.4252714,-40,11454,tt0091474,Manhunter,0.338943,Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",US,1986
13,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,25.07.1986 00:00,98,24881,Stephen King,1986,0,-0.2566337,-30,9980,tt0091499,Maximum Overdrive,6.614078,Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",US,1986
14,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,19.12.1986 00:00,94,53327,Howard Ashman,1986,1,0.5498954,50,10776,tt0091419,Little Shop of Horrors,7.409179,Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",US,1986
