,budget,company,country,director,genre,gross,name,released,runtime,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,tagline,title,genres_edited,production_countries_edited,year_released,budget_norm,runtime_norm,votes_norm,popularity_norm
0,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,1.08.1986 00:00,90,36636,Mark H. Baker,1986,1,1.062734778,110,10122,tt0091059,Flight of the Navigator,5.526865,Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",US,1986,-0.8875683168559811,-1.0549759478337544,-0.35307631749313073,-0.6883108825035047
1,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,23.10.1986 00:00,120,146768,David Lynch,1986,1,0.425204667,40,793,tt0090756,Blue Velvet,7.882247,It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",US,1986,-1.015991571541705,1.0753987124340656,1.474406632062522,-0.029287685534656185
2,16000000,Other,Other,Other,Action,5900000,Highlander,7.03.1986 00:00,116,104860,Gregory Widen,1986,0,-0.63125,-60,8009,tt0091203,Highlander,16.870392,There can be only one.,Highlander,"Adventure, Action, Fantasy","GB, US",1986,-0.5879140559226258,0.7913487577316897,0.7790033391959774,2.485546873241615
3,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,28.03.1986 00:00,100,12228,David Seltzer,1986,1,0.366666667,40,13346,tt0091445,Lucas,4.57535,It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",US,1986,-1.015991571541705,-0.3448510610778144,-0.7580921515173414,-0.9545396544240737
4,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,2.07.1986 00:00,99,101678,Gary Goldman,1986,0,-0.556,-60,6978,tt0090728,Big Trouble in Little China,11.109932,Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",US,1986,-0.20264429186545455,-0.41586354975340833,0.7262026023939028,0.8738011924088785
5,15000000,Other,USA,Other,Crime,8620929,Manhunter,15.08.1986 00:00,120,54000,Thomas Harris,1986,0,-0.4252714,-40,11454,tt0091474,Manhunter,0.338943,Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",US,1986,-0.6307218074845337,1.0753987124340656,-0.06494558404522864,-2.13986351475807
6,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,25.07.1986 00:00,98,24881,Stephen King,1986,0,-0.2566337,-30,9980,tt0091499,Maximum Overdrive,6.614078,Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",US,1986,-0.8447605652940733,-0.48687603842900234,-0.5481337219897957,-0.38411454108368703
7,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,19.12.1986 00:00,94,53327,Howard Ashman,1986,1,0.5498954,50,10776,tt0091419,Little Shop of Horrors,7.409179,Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",US,1986,-0.20264429186545455,-0.7709259931313783,-0.07611305603385098,-0.16164956388120846
8,2700000,Other,USA,Other,Action,3500000,The Wraith,21.11.1986 00:00,93,11635,Mike Marvin,1986,1,0.296296296,30,10017,tt0092240,The Wraith,7.657918,He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime","US, CA",1986,-1.157257151696001,-0.8419384818069724,-0.7679321379798274,-0.0920537314468797
9,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,1.08.1986 00:00,110,36020,Steve Gerber,1986,0,-0.534406457,-50,10658,tt0091225,Howard the Duck,10.722672,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction",US,1986,0.2254332237536246,0.36527382567812566,-0.3632979560443809,0.7654479302806305
10,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,89,21253,L.M. Kit Carson,1986,1,0.70763234,70,16337,tt0092076,The Texas Chainsaw Massacre 2,9.501011,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,US,1986,-1.0716416485721851,-1.1259884365093484,-0.6083351906000807,0.4236337626287761
11,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,5.12.1986 00:00,130,32954,James Carabatsos,1986,1,1.8482678,180,10015,tt0091187,Heartbreak Ridge,7.390012,...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War",US,1986,-0.6307218074845337,1.7855235991900056,-0.4141738388335578,-0.1670123872433222
12,25000000,Paramount Pictures,USA,Other,Adventure,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,119,66366,Gene Roddenberry,1986,1,3.38852528,340,168,tt0092007,Star Trek IV: The Voyage Home,12.596956,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure",US,1986,-0.20264429186545455,1.0043862237584718,0.1402504911573029,1.2898624981543605
13,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,12.12.1986 00:00,94,42997,Dennis Feldman,1986,1,2.19271748,220,10136,tt0091129,The Golden Child,8.236472,Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy",US,1986,-0.20264429186545455,-0.7709259931313783,-0.24752462459621152,0.06982256152772694
14,1900000,Other,USA,Other,Crime,4600000,River's Edge,8.05.1987 00:00,99,12862,Neal Jimenez,1986,1,1.421052632,140,21309,tt0091860,River's Edge,4.482439,The most controversial film you will see this year.,River's Edge,"Crime, Drama",US,1987,-1.1915033529455272,-0.41586354975340833,-0.7475718287227107,-0.9805356517839807
15,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,12.12.1986 00:00,104,57406,Steve Martin,1986,1,0.56986936,60,8388,tt0092086,¡Three Amigos!,6.377624,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western",US,1986,-0.20264429186545455,-0.06080110637543835,-0.008427887769972098,-0.45027309668786175
16,13800000,Touchstone Pictures,USA,Other,Drama,52293982,The Color of Money,17.10.1986 00:00,119,62495,Walter Tevis,1986,1,2.789418986,280,11873,tt0090863,The Color of Money,11.613655,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,US,1986,-0.6820911093588232,1.0043862237584718,0.07601678526137862,1.0147401746405245
17,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,26.03.1986 00:00,91,41278,David Giler,1986,1,2.7499651,270,10466,tt0091541,The Money Pit,7.054864,For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",US,1986,-0.8447605652940733,-0.9839634591581604,-0.27604896983906707,-0.26078499245883086
18,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,26.11.1986 00:00,117,23076,Paul Theroux,1986,0,-0.42788884,-40,11120,tt0091557,The Mosquito Coast,6.224859,He went too far.,The Mosquito Coast,"Adventure, Drama",US,1986,-0.20264429186545455,0.8623612464072836,-0.5780851141732478,-0.49301592086030843
19,10000000,Other,USA,Other,Action,4711220,King Kong Lives,19.12.1986 00:00,105,4401,Ronald Shusett,1986,0,-0.528878,-50,31947,tt0091344,King Kong Lives,2.663294,America's biggest hero is back... and he is not happy.,King Kong Lives,"Action, Horror",US,1986,-0.8447605652940733,0.010211382300155654,-0.88797001668071,-1.4895226244490927
20,4500000,Other,USA,Other,Horror,1261000,From Beyond,24.10.1986 00:00,86,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,14510,tt0091083,From Beyond,7.522655,Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",US,1986,-1.0802031988845668,-1.3390259025361304,-0.6849476990272267,-0.12989959028913833
21,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,10.10.1986 00:00,103,28529,Jerry Leichtling,1986,1,1.299046722,130,10013,tt0091738,Peggy Sue Got Married,7.471655,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",US,1986,-0.50229855279881,-0.13181359505103235,-0.48760038199797656,-0.14416911559136592
22,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,91,20669,Mark Victor,1986,1,1.157719211,120,11133,tt0091778,Poltergeist II: The Other Side,6.701138,They're back.,Poltergeist II: The Other Side,"Horror, Thriller",US,1986,-0.459490801236902,-0.9839634591581604,-0.6180258349408763,-0.3597556220089433
23,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,6.06.1986 00:00,107,11484,Clifford Green,1986,0,-0.461236722,-50,13766,tt0091993,SpaceCamp,6.41742,The stars belong to a new generation.,SpaceCamp,"Family, Adventure",US,1986,-0.50229855279881,0.15223635965134366,-0.7704377669104099,-0.439138390238304
24,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,2.07.1986 00:00,74,36539,Peter Young,1986,1,1.757142857,180,9994,tt0091149,The Great Mouse Detective,11.183924,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",US,1986,-0.6735295590464416,-2.1911757666432585,-0.3546858936935711,0.8945037554708863
