,budget,score_norm,votes,score,rating,budget_norm,votes_norm,year,isprofit,profitability_ratio
0,9000000,0.7308474182886203,36636,6.9,4,-0.8750190157433494,-0.3364618244538531,1986,1,1.062734778
1,6000000,1.7873351545387612,146768,7.8,6,-1.0014907597768146,1.563476349075296,1986,1,0.425204667
2,16000000,1.0830099970386673,104860,7.2,6,-0.579918279665264,0.840502018487823,1986,0,-0.63125
3,6000000,0.613459892038604,12228,6.8,5,-1.0014907597768146,-0.7575355445306653,1986,1,0.366666667
4,25000000,1.2003975232886828,101678,7.3,5,-0.2005030475648686,0.785607861765256,1986,0,-0.556
5,15000000,1.0830099970386673,54000,7.2,6,-0.622075527676419,-0.0369074129734464,1986,0,-0.4252714
6,10000000,-1.0299654754616157,24881,5.4,6,-0.8328617677321943,-0.5392527773997285,1986,0,-0.2566337
7,25000000,0.7308474182886203,53327,6.9,5,-0.2005030475648686,-0.0485176478805136,1986,1,0.5498954
8,2700000,-0.443027844211537,11635,5.9,5,-1.140609678213626,-0.7677656623611123,1986,1,0.296296296
9,35000000,-1.9690656854617423,36020,4.6,4,0.2210694325466818,-0.3470887259438284,1986,0,-0.534406457
10,4700000,-0.795190422961585,21253,5.6,7,-1.056295182191316,-0.601841086824453,1986,1,0.70763234
11,15000000,0.613459892038604,32954,6.8,6,-0.622075527676419,-0.3999817129052962,1986,1,1.8482678
12,25000000,-0.443027844211537,42997,5.9,5,-0.2005030475648686,-0.2267252653990923,1986,1,2.19271748
13,1900000,0.9656224707886508,12862,7.1,6,-1.1743354766225502,-0.7465981166984506,1986,1,1.421052632
14,25000000,0.1439097870385416,57406,6.4,4,-0.2005030475648686,0.021851071563657,1986,1,0.56986936
15,13800000,0.8482349445386357,62495,7.0,6,-0.6726642252898052,0.1096437691001572,1986,1,2.789418986
16,10000000,0.0265222607885252,41278,6.3,4,-0.8328617677321943,-0.2563805310829681,1986,1,2.7499651
17,25000000,0.3786848395385723,23076,6.6,4,-0.2005030475648686,-0.570391668940971,1986,0,-0.42788884
18,4500000,0.4960723657885886,16636,6.7,6,-1.064726631793547,-0.6814910936088943,1986,0,-0.719777778
19,18000000,0.0265222607885252,28529,6.3,5,-0.4956037836429539,-0.4763194387058491,1986,1,1.299046722
20,19000000,-0.6778028967115687,20669,5.7,5,-0.4534465356317989,-0.6119159414837803,1986,1,1.157719211
21,18000000,-0.795190422961585,11484,5.6,4,-0.4956037836429539,-0.7703706333432329,1986,0,-0.461236722
22,14000000,1.0830099970386673,36539,7.2,0,-0.6642327756875741,-0.3381352164092551,1986,1,1.757142857
23,6000000,1.2003975232886828,33609,7.3,4,-1.0014907597768146,-0.3886820043404686,1986,0,-0.025058833
24,5000000,0.613459892038604,16077,6.8,6,-1.0436480077879695,-0.6911346616817776,1986,0,-0.8817268
25,6500000,0.8482349445386357,11607,7.0,6,-0.980412135771237,-0.7682487033379294,1986,0,-0.638923077
26,20000000,-0.2082527917115064,7570,6.1,6,-0.4112892876206439,-0.8378928613168743,1986,1,0.26571445
27,15000000,-1.147353001711632,5340,5.3,6,-0.622075527676419,-0.8763636248276615,1986,0,-0.8697512
28,12000000,-0.795190422961585,15819,5.6,6,-0.7485472717098842,-0.6955855392538777,1986,1,0.480741667
29,18000000,-0.09086526546149,9965,6.2,5,-0.4956037836429539,-0.7965756063355582,1986,1,1.033978333
30,8700000,0.0265222607885252,2297,6.3,6,-0.8876661901466959,-0.928859828129601,1986,0,-0.44069977
31,12000000,-0.795190422961585,9040,5.6,5,-0.7485472717098842,-0.8125332100339788,1986,1,0.3287945
32,1100000,1.7873351545387612,39456,7.8,6,-1.2080612750314743,-0.2878126975029924,1986,1,0.305454545
33,10000000,0.4960723657885886,14502,6.7,6,-0.8328617677321943,-0.7183057166277371,1986,1,1.0603715
34,18000000,-0.2082527917115064,4666,6.1,5,-0.4956037836429539,-0.8879911111981864,1986,0,-0.783333333
35,25000000,-1.7342906329617107,3397,4.8,5,-0.2005030475648686,-0.9098832183260738,1986,0,-0.9368296
36,10000000,-0.09086526546149,5584,6.2,4,-0.8328617677321943,-0.87215426774397,1986,1,1.1458229
37,12000000,-0.443027844211537,5523,5.9,5,-0.7485472717098842,-0.8732066070148928,1986,0,-0.35075575
38,2000000,-0.6778028967115687,4744,5.7,6,-1.1701197518214348,-0.8866454970484817,1986,1,2.6846865
39,18000000,-0.6778028967115687,3607,5.7,6,-0.4956037836429539,-0.9062604109999458,1986,0,-0.927493667
40,8000000,-1.499515580461679,4752,5.0,4,-0.9171762637545045,-0.8865074853408197,1986,1,0.47928775
41,3300000,-0.443027844211537,3909,5.9,6,-1.1153153294069331,-0.9010504690357046,1986,1,0.497308182
42,15000000,-1.6169031067116943,5049,4.9,5,-0.622075527676419,-0.8813838006938673,1986,0,-0.179431933
43,40000000,-0.443027844211537,8374,5.9,4,0.4318556726024571,-0.8240226846968417,1986,1,0.246289775
44,13000000,-0.795190422961585,4573,5.6,6,-0.7063900236987292,-0.8895954972997573,1986,0,-0.348041077
45,16000000,-0.6778028967115687,2287,5.7,6,-0.579918279665264,-0.9290323427641786,1986,0,-0.7625
46,20000000,0.1439097870385416,3079,6.4,5,-0.4112892876206439,-0.9153691837056388,1986,1,0.145275
47,6000000,-0.443027844211537,3561,5.9,6,-1.0014907597768146,-0.9070539783190024,1986,1,0.6579385
48,25000000,-0.9125779492116004,1340,5.5,6,-0.2005030475648686,-0.9453694786586696,1986,0,-0.83971
49,27000000,0.3786848395385723,120345,6.6,6,-0.1161885515425585,1.1076409301311136,1987,1,0.411929815
50,22700000,0.9656224707886508,146748,7.1,4,-0.2974647179905252,1.5631313198061412,1987,1,0.679272379
51,25000000,1.9047226807887776,234254,7.9,6,-0.2005030475648686,3.0727378811401924,1987,1,2.05081816
52,3600000,1.7873351545387612,123325,7.8,6,-1.1026681550035866,1.1590502912352147,1987,1,0.64529
53,22000000,-1.0299654754616157,30370,5.4,4,-0.3269747915983337,-0.4445594944801275,1987,0,-0.211983182
54,12000000,1.0830099970386673,21420,7.2,5,-0.7485472717098842,-0.5989600924270084,1987,0,-0.685834167
55,30000000,0.4960723657885886,74272,6.7,4,0.0102831924909066,0.3128142542421032,1987,1,0.706196567
56,15000000,1.3177850495386991,126195,7.4,6,-0.622075527676419,1.2085619913589631,1987,1,1.923206667
57,35000000,1.7873351545387612,96566,7.8,4,0.2210694325466818,0.6974183805692276,1987,0,-0.364608686
58,22000000,0.261297313288557,51642,6.5,6,-0.3269747915983337,-0.0775863638068258,1987,1,1.898477727
59,25000000,-0.6778028967115687,40916,5.7,4,-0.2005030475648686,-0.2626255608546743,1987,0,-0.3576968
60,6000000,1.3177850495386991,107669,7.4,5,-1.0014907597768146,0.8889613793406486,1987,1,2.807927333
61,17000000,1.2003975232886828,67453,7.3,6,-0.537761031654109,0.1951765249236919,1987,1,0.010919529
62,27000000,0.613459892038604,45172,6.8,4,-0.1161885515425585,-0.1892033323784816,1987,0,-0.04097
63,23000000,1.7873351545387612,76408,7.8,5,-0.2848175435871787,0.3496633801878616,1987,1,0.912357826
64,2600000,1.669947628288746,11837,7.7,6,-1.1448254030147418,-0.7642808667426464,1987,1,0.204073846
65,20000000,1.0830099970386673,22802,7.2,6,-0.4112892876206439,-0.575118569928395,1987,1,1.5624702
66,3500000,-0.3256403179615217,17500,6.0,6,-1.106883879804702,-0.6665858291813965,1987,1,3.0
67,12000000,0.3786848395385723,34794,6.6,4,-0.7485472717098842,-0.3682390201430324,1987,1,2.337573667
68,20000000,-0.443027844211537,27387,5.9,5,-0.4112892876206439,-0.4960206099746019,1987,1,1.8693758
69,14000000,-0.09086526546149,28550,6.2,5,-0.6642327756875741,-0.4759571579732363,1987,1,3.136855143
70,3000000,1.2003975232886828,15647,7.3,6,-1.1279625038102796,-0.698552790968611,1987,1,0.073856
71,6000000,1.0830099970386673,8970,7.2,5,-1.0014907597768146,-0.8137408124760215,1987,0,-0.385689667
72,15000000,-1.2647405279616477,5348,5.2,5,-0.622075527676419,-0.8762256131199995,1987,0,-0.113975467
73,16000000,1.5525601020387296,26467,7.6,4,-0.579918279665264,-0.5118919563557338,1987,0,-0.075451313
74,17000000,-0.2082527917115064,7854,6.1,6,-0.537761031654109,-0.8329934456948728,1987,0,-0.395379471
75,29000000,1.4351725757887144,10692,7.5,4,-0.0318740555202484,-0.7840337924017725,1987,0,-0.796558724
76,6000000,0.261297313288557,7532,6.5,6,-1.0014907597768146,-0.838548416928269,1987,1,1.0706385
77,4000000,-1.6169031067116943,2538,4.9,6,-1.085805255799125,-0.9247022254362828,1987,0,-0.8
78,55000000,-2.438615790461805,9094,4.2,5,1.064214392769783,-0.8116016310072602,1987,0,-0.738633073
79,22000000,0.3786848395385723,4924,6.6,6,-0.3269747915983337,-0.8835402336260864,1987,0,-0.486007091
80,4000000,1.9047226807887776,6198,7.9,5,-1.085805255799125,-0.8615618691809103,1987,0,-0.5799105
81,9000000,-1.147353001711632,3889,5.3,6,-0.8750190157433494,-0.9013954983048598,1987,0,-0.399235667
82,10000000,-0.795190422961585,1959,5.6,6,-0.8328617677321943,-0.9346908227783212,1987,0,-0.6939142
83,6000000,0.1439097870385416,3731,6.4,6,-1.0014907597768146,-0.9041212295311846,1987,0,-0.761218833
84,3520000,-1.499515580461679,3860,5.0,6,-1.106040734844479,-0.9018957907451344,1987,0,-0.840287784
85,25000000,0.4960723657885886,4996,6.7,6,-0.2005030475648686,-0.8822981282571282,1987,1,0.23800008
86,11000000,0.261297313288557,6960,6.5,6,-0.7907045197210393,-0.8484162540261031,1987,1,1.310126
87,3000000,-0.9125779492116004,2786,5.5,4,-1.1279625038102796,-0.9204238624987602,1987,1,2.289507
88,1000000,-0.5604153704615534,1924,5.8,6,-1.2122769998325895,-0.9352946239993424,1987,0,-0.7898
89,12000000,-0.9125779492116004,3267,5.5,4,-0.7485472717098842,-0.9121259085755816,1987,0,-0.527514083
90,1100000,-0.3256403179615217,1489,6.0,6,-1.2080612750314743,-0.9427990106034646,1987,1,0.23248
91,5000000,-1.7342906329617107,1025,4.8,6,-1.0436480077879695,-0.9508036896478615,1987,0,-0.82835
92,14000000,-1.2647405279616477,2453,5.2,6,-0.6642327756875741,-0.9261685998301916,1987,1,0.445750143
93,39000000,0.8482349445386357,130485,7.0,6,0.389698424591302,1.2825707695927195,1988,1,2.28595641
94,35000000,1.2003975232886828,86056,7.3,4,0.2210694325466818,0.5161054996282534,1988,1,0.6362818
95,3000000,1.2003975232886828,67238,7.3,6,-1.1279625038102796,0.1914674602802752,1988,0,-0.630512667
96,4000000,1.2003975232886828,83379,7.3,6,-1.085805255799125,0.4699233319518511,1988,1,2.252232
97,3500000,-0.09086526546149,15572,6.2,6,-1.106883879804702,-0.6998466507279425,1988,1,0.253004571
98,30000000,1.5525601020387296,58318,7.6,6,0.0102831924909066,0.0375844062371269,1988,1,0.280453533
99,3000000,0.261297313288557,33241,6.5,6,-1.1279625038102796,-0.3950305428929214,1988,1,2.696911667
100,15000000,1.7873351545387612,70539,7.8,6,-0.622075527676419,0.2484145411543147,1988,1,1.306929533
101,28000000,0.4960723657885886,44277,6.7,6,-0.0740313035314034,-0.2046433921731697,1988,1,1.285714286
102,12500000,1.3177850495386991,66623,7.4,0,-0.7274686477043067,0.1808578102537577,1988,1,2.84742768
103,17000000,1.3177850495386991,28868,7.4,6,-0.537761031654109,-0.4704711925936711,1988,0,-0.411364353
104,5000000,-0.443027844211537,32498,5.9,6,-1.0436480077879695,-0.4078483802420312,1988,1,2.5537514
105,13000000,0.613459892038604,45768,6.8,6,-0.7063900236987292,-0.1789214601576614,1988,1,2.512427385
106,6000000,-0.09086526546149,20071,6.2,6,-1.0014907597768146,-0.622232316631516,1988,1,1.132202167
107,63000000,-0.6778028967115687,99555,5.7,6,1.4014723768590232,0.7489830048444484,1988,0,-0.147371254
108,7000000,1.5525601020387296,42782,7.6,6,-0.9593335117656596,-0.230434330042509,1988,1,0.090080571
109,13000000,-0.6778028967115687,39701,5.7,6,-0.7063900236987292,-0.2835860889558431,1988,1,2.797684538
110,24000000,0.3786848395385723,31340,6.6,4,-0.2426602955760236,-0.427825574926108,1988,1,0.72730125
111,7500000,-0.3256403179615217,24061,6.0,6,-0.938254887760082,-0.5533989774350853,1988,1,1.5159508
112,10000000,-1.2647405279616477,17315,5.2,4,-0.8328617677321943,-0.6697773499210806,1988,0,-0.6083697
113,31000000,0.4960723657885886,35531,6.7,0,0.0524404405020616,-0.3555246915746692,1988,1,1.391978903
114,31000000,0.0265222607885252,33312,6.3,6,0.0524404405020616,-0.393805688987421,1988,1,0.222686935
115,32000000,0.8482349445386357,68098,7.0,5,0.0945976885132167,0.206303718853942,1988,1,0.885267438
116,23000000,-0.3256403179615217,24708,6.0,6,-0.2848175435871787,-0.5422372805779196,1988,1,0.795328304
117,20000000,0.7308474182886203,41608,6.9,6,-0.4112892876206439,-0.2506875481419099,1988,0,-0.1181025
118,8000000,0.0265222607885252,14929,6.3,5,-0.9171762637545045,-0.710939341731277,1988,1,1.804159375
119,46630000,1.0830099970386673,43852,7.2,4,0.711358226916415,-0.2119752641427143,1988,0,-0.826654021
120,13000000,1.2003975232886828,32130,7.3,6,-0.7063900236987292,-0.4141969187944839,1988,0,-0.297328231
121,10500000,-1.9690656854617423,14165,4.6,5,-0.8117831437266168,-0.7241194598129996,1988,1,0.344236952
122,22000000,-2.0864532117117576,5006,4.5,6,-0.3269747915983337,-0.8821256136225507,1988,0,-0.202254591
123,1100000,-0.3256403179615217,10850,6.0,6,-1.2080612750314743,-0.7813080611754477,1988,0,-0.389652727
124,10000000,-0.2082527917115064,13416,6.1,6,-0.8328617677321943,-0.7370408059428559,1988,1,1.1486757
125,3000000,1.669947628288746,11312,7.7,5,-1.1279625038102796,-0.7733378850579662,1988,0,-0.054961333
126,4500000,-1.147353001711632,11122,5.3,5,-1.064726631793547,-0.7766156631149391,1988,0,-0.152601556
127,22000000,0.8482349445386357,20378,7.0,5,-0.3269747915983337,-0.6169361173499861,1988,1,0.123658136
128,2000000,-0.443027844211537,10474,5.9,6,-1.1701197518214348,-0.7877946114355624,1988,0,-0.6374345
129,2500000,-0.443027844211537,7908,5.9,6,-1.1490411278158572,-0.8320618666681542,1988,0,-0.524274
130,7000000,0.261297313288557,18528,6.5,6,-0.9593335117656596,-0.6488513247468274,1988,1,1.799290143
131,6000000,1.2003975232886828,15946,7.3,4,-1.0014907597768146,-0.6933946033947432,1988,0,-0.0532475
132,3000000,0.261297313288557,10789,6.5,6,-1.1279625038102796,-0.7823604004463706,1988,1,1.427617
133,7000000,-0.09086526546149,8595,6.2,6,-0.9593335117656596,-0.8202101112726785,1988,0,-0.236489
134,16000000,0.0265222607885252,12143,6.3,6,-0.579918279665264,-0.7590019189245742,1988,1,0.576015188
135,6500000,-0.5604153704615534,5042,5.8,6,-0.980412135771237,-0.8815045609380716,1988,1,1.237822154
136,3700000,0.8482349445386357,6985,7.0,6,-1.0984524302024712,-0.8479849674396593,1988,0,-0.690431351
137,17500000,-1.147353001711632,12956,5.3,4,-0.5166824076485315,-0.7449764791334218,1988,1,0.081423943
138,4000000,0.7308474182886203,3259,6.9,6,-1.085805255799125,-0.9122639202832435,1988,0,-0.8323065
139,10000000,1.3177850495386991,10826,7.4,4,-0.8328617677321943,-0.7817220962984337,1988,0,-0.8437251
140,9000000,1.0830099970386673,9685,7.2,6,-0.8750190157433494,-0.8014060161037289,1988,0,-0.757634889
141,15000000,0.7308474182886203,7622,6.9,5,-0.622075527676419,-0.8369957852170713,1988,0,-0.539413533
142,20000000,0.3786848395385723,12590,6.6,5,-0.4112892876206439,-0.7512905147589591,1988,1,1.1592399
143,4000000,1.2003975232886828,10745,7.3,6,-1.085805255799125,-0.7831194648385116,1988,0,-0.132857
144,18000000,-0.9125779492116004,2850,5.5,4,-0.4956037836429539,-0.919319768837464,1988,0,-0.895343833
145,210000,-2.0864532117117576,1724,4.5,6,-1.2455812257614025,-0.9387449166908928,1988,0,-0.4888
146,15000000,-0.3256403179615217,4132,6.0,4,-0.622075527676419,-0.897203392684626,1988,0,-0.884462
147,15000000,-0.5604153704615534,6938,5.8,6,-0.622075527676419,-0.8487957862221737,1988,1,0.402151133
148,3000000,0.1439097870385416,3419,6.4,6,-1.1279625038102796,-0.9095036861300032,1988,0,-0.371895
149,4000000,0.7308474182886203,2935,6.9,4,-1.085805255799125,-0.9178533944435552,1988,1,3.06560375
150,19000000,-0.6778028967115687,3961,5.7,6,-0.4534465356317989,-0.9001533929359016,1988,0,-0.420773474
151,19000000,-0.6778028967115687,3333,5.7,6,-0.4534465356317989,-0.9109873119873698,1988,0,-0.758186737
152,1000000,-0.3256403179615217,1968,6.0,6,-1.2122769998325895,-0.9345355596072014,1988,0,-0.507481
153,5000000,-0.443027844211537,1563,5.9,6,-1.0436480077879695,-0.941522402307591,1988,0,-0.9141944
154,18000000,-0.443027844211537,2789,5.9,4,-0.4956037836429539,-0.920372108108387,1988,0,-0.492777833
155,13000000,-2.438615790461805,734,4.2,4,-0.7063900236987292,-0.9558238655140676,1988,0,-0.980075462
156,7000000,-1.6169031067116943,704,4.9,6,-0.9593335117656596,-0.9563414094178,1988,0,-0.980542429
157,55000000,0.0265222607885252,81242,6.3,6,1.064214392769783,0.433056954542635,1989,1,0.152883891
158,27000000,1.5525601020387296,115848,7.6,5,-0.1161885515425585,1.0300610989616026,1989,1,1.641481481
159,10000000,0.7308474182886203,90901,6.9,4,-0.8328617677321943,0.5996888400810622,1989,1,3.0485039
160,6500000,1.9047226807887776,65617,7.9,6,-0.980412135771237,0.1635028380152591,1989,1,3.237760769
161,18000000,1.9047226807887776,107207,7.9,6,-0.4956037836429539,0.8809912032231672,1989,1,0.490555556
162,37000000,0.261297313288557,152597,6.5,4,0.3053839285689919,1.664035129570533,1989,1,2.040398324
