adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited
FALSE,862,tt0114709,Toy Story,Toy Story,"Animation, Comedy, Family",US
FALSE,8844,tt0113497,Jumanji,Jumanji,"Adventure, Fantasy, Family",US
FALSE,15602,tt0113228,Grumpier Old Men,Grumpier Old Men,"Romance, Comedy",US
FALSE,31357,tt0114885,Waiting to Exhale,Waiting to Exhale,"Comedy, Drama, Romance",US
FALSE,11862,tt0113041,Father of the Bride Part II,Father of the Bride Part II,Comedy,US
FALSE,949,tt0113277,Heat,Heat,"Action, Crime, Drama, Thriller",US
FALSE,11860,tt0114319,Sabrina,Sabrina,"Comedy, Romance","DE, US"
FALSE,45325,tt0112302,Tom and Huck,Tom and Huck,"Action, Adventure, Drama, Family",US
FALSE,9091,tt0114576,Sudden Death,Sudden Death,"Action, Adventure, Thriller",US
FALSE,710,tt0113189,GoldenEye,GoldenEye,"Adventure, Action, Thriller","GB, US"
FALSE,9087,tt0112346,The American President,The American President,"Comedy, Drama, Romance",US
FALSE,12110,tt0112896,Dracula: Dead and Loving It,Dracula: Dead and Loving It,"Comedy, Horror","FR, US"
FALSE,21032,tt0112453,Balto,Balto,"Family, Animation, Adventure",US
FALSE,10858,tt0113987,Nixon,Nixon,"History, Drama",US
FALSE,1408,tt0112760,Cutthroat Island,Cutthroat Island,"Action, Adventure","FR, DE, IT, US"
FALSE,524,tt0112641,Casino,Casino,"Drama, Crime","FR, US"
FALSE,4584,tt0114388,Sense and Sensibility,Sense and Sensibility,"Drama, Romance","GB, US"
FALSE,5,tt0113101,Four Rooms,Four Rooms,"Crime, Comedy",US
FALSE,9273,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",US
FALSE,11517,tt0113845,Money Train,Money Train,"Action, Comedy, Crime",US
FALSE,8012,tt0113161,Get Shorty,Get Shorty,"Comedy, Thriller, Crime",US
FALSE,1710,tt0112722,Copycat,Copycat,"Drama, Thriller",US
FALSE,9691,tt0112401,Assassins,Assassins,"Action, Adventure, Crime, Thriller","FR, US"
FALSE,12665,tt0114168,Powder,Powder,"Drama, Fantasy, Science Fiction, Thriller",US
FALSE,451,tt0113627,Leaving Las Vegas,Leaving Las Vegas,"Drama, Romance",US
FALSE,16420,tt0114057,Othello,Othello,Drama,IT
FALSE,9263,tt0114011,Now and Then,Now and Then,"Comedy, Drama, Family",US
FALSE,17015,tt0114117,Persuasion,Persuasion,"Drama, Romance","GB, FR"
FALSE,902,tt0112682,La Cité des Enfants Perdus,The City of Lost Children,"Fantasy, Science Fiction, Adventure","FR, DE, ES"
FALSE,37557,tt0115012,摇啊摇，摇到外婆桥,Shanghai Triad,"Drama, Crime","CN, FR"
FALSE,9909,tt0112792,Dangerous Minds,Dangerous Minds,"Drama, Crime",US
FALSE,63,tt0114746,Twelve Monkeys,Twelve Monkeys,"Science Fiction, Thriller, Mystery",US
