budget,company,gross,name,rating,released,score,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
8000000,Columbia Pictures Corporation,52287414,Stand by Me,R,22.08.1986 00:00,8.1,299174,Stephen King,1986,1,5.53592675,550
6000000,Paramount Pictures,70136369,Ferris Bueller's Day Off,PG-13,11.06.1986 00:00,7.8,264740,John Hughes,1986,1,10.68939483,1070
15000000,Paramount Pictures,179800601,Top Gun,PG,16.05.1986 00:00,6.9,236909,Jim Cash,1986,1,10.98670673,1100
18500000,Twentieth Century Fox Film Corporation,85160248,Aliens,R,18.07.1986 00:00,8.4,540152,James Cameron,1986,1,3.603256649,360
9000000,Walt Disney Pictures,18564613,Flight of the Navigator,PG,1.08.1986 00:00,6.9,36636,Mark H. Baker,1986,1,1.062734778,110
6000000,Hemdale,138530565,Platoon,R,6.02.1987 00:00,8.1,317585,Oliver Stone,1986,1,22.0884275,2210
25000000,Henson Associates (HA),12729917,Labyrinth,PG,27.06.1986 00:00,7.4,102879,Dennis Lee,1986,0,-0.49080332,-50
6000000,De Laurentiis Entertainment Group (DEG),8551228,Blue Velvet,R,23.10.1986 00:00,7.8,146768,David Lynch,1986,1,0.425204667,40
9000000,Paramount Pictures,40471663,Pretty in Pink,PG-13,28.02.1986 00:00,6.8,60565,John Hughes,1986,1,3.496851444,350
15000000,SLM Production Group,40456565,The Fly,R,15.08.1986 00:00,7.5,129698,George Langelaan,1986,1,1.697104333,170
8800000,Rimfire Films,174635000,Crocodile Dundee,PG-13,26.09.1986 00:00,6.5,79465,Ken Shadie,1986,1,18.84488636,1880
16000000,Thorn EMI Screen Entertainment,5900000,Highlander,R,7.03.1986 00:00,7.2,104860,Gregory Widen,1986,0,-0.63125,-60
6000000,Twentieth Century Fox Film Corporation,8200000,Lucas,PG-13,28.03.1986 00:00,6.8,12228,David Seltzer,1986,1,0.366666667,40
25000000,Twentieth Century Fox Film Corporation,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,7.3,101678,Gary Goldman,1986,0,-0.556,-60
15000000,De Laurentiis Entertainment Group (DEG),8620929,Manhunter,R,15.08.1986 00:00,7.2,54000,Thomas Harris,1986,0,-0.4252714,-40
17000000,Producers Sales Organization (PSO),6734844,9½ Weeks,R,21.02.1986 00:00,5.9,31798,Elizabeth McNeill,1986,0,-0.603832706,-60
10000000,De Laurentiis Entertainment Group (DEG),7433663,Maximum Overdrive,R,25.07.1986 00:00,5.4,24881,Stephen King,1986,0,-0.2566337,-30
