,budget,company,gross,name,rating,released,score,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited,keywords_edited,year_released
0,8000000,Columbia Pictures Corporation,52287414,Stand by Me,R,22.08.1986 00:00,8.1,299174,Stephen King,1986,1,5.53592675,550,FALSE,235,tt0092005,Stand by Me,Stand by Me,"Crime, Drama",US,"based on novel, friendship, coming of age, railroad track, story within the story,  flipping coin, campfire story, reference to superman, normandy beach, child, 1950s, boys",1986
1,6000000,Paramount Pictures,70136369,Ferris Bueller's Day Off,PG-13,11.06.1986 00:00,7.8,264740,John Hughes,1986,1,10.68939483,1070,FALSE,9377,tt0091042,Ferris Bueller's Day Off,Ferris Bueller's Day Off,Comedy,US,"chicago, high school, aftercreditsstinger, duringcreditsstinger",1986
2,15000000,Paramount Pictures,179800601,Top Gun,PG,16.05.1986 00:00,6.9,236909,Jim Cash,1986,1,10.98670673,1100,FALSE,744,tt0092099,Top Gun,Top Gun,"Action, Romance, War",US,"lovesickness, loss of lover, fighter pilot, self-discovery, pilot, ejection seat, dying and death, officer, training camp, air force, airplane, dangerous, battle assignment, u.s. navy, hostility, secret love, cowardliness, pilot school",1986
3,18500000,Twentieth Century Fox Film Corporation,85160248,Aliens,R,18.07.1986 00:00,8.4,540152,James Cameron,1986,1,3.603256649,360,FALSE,679,tt0090605,Aliens,Aliens,"Horror, Action, Thriller, Science Fiction","GB, US","android, extraterrestrial technology, space marine, spaceman, cryogenics, vacuum, space colony, warrior woman, settler, space travel, colony, alien, xenomorph",1986
4,9000000,Walt Disney Pictures,18564613,Flight of the Navigator,PG,1.08.1986 00:00,6.9,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,Flight of the Navigator,"Family, Science Fiction, Adventure",US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986
5,6000000,Other,138530565,Platoon,R,6.02.1987 00:00,8.1,317585,Oliver Stone,1986,1,22.0884275,2210,FALSE,792,tt0091763,Platoon,Platoon,"Drama, War, Action","GB, US","famous score, hero, mine, vietnam war, village, gore, jungle, f word, soldier, battle, combat, 1960s",1987
6,6000000,Other,8551228,Blue Velvet,R,23.10.1986 00:00,7.8,146768,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,Blue Velvet,"Crime, Drama, Mystery, Thriller",US,"small town, ear, suspense, independent film, policeman, ear cut off",1986
7,9000000,Paramount Pictures,40471663,Pretty in Pink,PG-13,28.02.1986 00:00,6.8,60565,John Hughes,1986,1,3.496851444,350,FALSE,11522,tt0091790,Pretty in Pink,Pretty in Pink,Comedy,US,"record store, lovesickness, class, love, crush, outcast, teenage crush, slumber party, relationship, family, school life, origin",1986
8,8800000,Other,174635000,Crocodile Dundee,PG-13,26.09.1986 00:00,6.5,79465,Ken Shadie,1986,1,18.84488636,1880,FALSE,9671,tt0090555,Crocodile Dundee,Crocodile Dundee,"Adventure, Comedy",AU,"new york, prostitute, hotel, journalist, culture clash, subway, crocodile, wilderness, knife, tourist, limousine, poacher, city, australian outback, kangaroo",1986
9,16000000,Other,5900000,Highlander,R,7.03.1986 00:00,7.2,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,Highlander,"Adventure, Action, Fantasy","GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986
10,6000000,Twentieth Century Fox Film Corporation,8200000,Lucas,PG-13,28.03.1986 00:00,6.8,12228,David Seltzer,1986,1,0.366666667,40,FALSE,13346,tt0091445,Lucas,Lucas,"Comedy, Drama, Romance",US,"high school, american football team, cheerleading",1986
11,25000000,Twentieth Century Fox Film Corporation,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,7.3,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",US,"kung fu, chinatown, magic, mystery",1986
12,15000000,Other,8620929,Manhunter,R,15.08.1986 00:00,7.2,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,Manhunter,"Crime, Horror, Thriller",US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986
13,10000000,Other,7433663,Maximum Overdrive,R,25.07.1986 00:00,5.4,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986
14,25000000,Other,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,6.9,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,Little Shop of Horrors,"Horror, Comedy, Music",US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986
15,2700000,Other,3500000,The Wraith,PG-13,21.11.1986 00:00,5.9,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,The Wraith,"Romance, Science Fiction, Horror, Action, Crime","US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986
16,35000000,Universal Pictures,16295774,Howard the Duck,PG,1.08.1986 00:00,4.6,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,Howard the Duck,"Comedy, Fantasy, Science Fiction",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986
17,2000000,New Line Cinema,13167232,Critters,PG-13,11.04.1986 00:00,6.0,25517,Domonic Muir,1986,1,5.583616,560,FALSE,3980,tt0090887,Critters,Critters,"Action, Comedy, Horror, Science Fiction, Thriller",US,"sheriff, bounty hunter, cat, brother sister relationship, small town, barn, toilet, kansas, spaceship, alien, creature, explosion, family, exploding house, brother sister , alien fugitive, alien creature",1986
18,11000000,Other,91258000,Back to School,PG-13,13.06.1986 00:00,6.6,23120,Rodney Dangerfield,1986,1,7.296181818,730,FALSE,15596,tt0090685,Back to School,Back to School,Comedy,US,"college, whirlpool, clothing store, source music, poetry recitation, bribe, clothing store owner, reference to longfellow, tutoring",1986
19,4700000,Other,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,5.6,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,Horror,US,"hammer, gore, slasher, chainsaw, b horror",1986
20,15000000,Other,42724017,Heartbreak Ridge,R,5.12.1986 00:00,6.8,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,Heartbreak Ridge,"Action, Comedy, Drama, War",US,"recruit, officer, battle assignment, marine, platoon, combat",1986
21,25000000,Paramount Pictures,109713132,Star Trek IV: The Voyage Home,PG,26.11.1986 00:00,7.3,66366,Gene Roddenberry,1986,1,3.38852528,340,FALSE,168,tt0092007,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,"Science Fiction, Adventure",US,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",1986
22,25000000,Paramount Pictures,79817937,The Golden Child,PG-13,12.12.1986 00:00,5.9,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,The Golden Child,"Action, Adventure, Comedy",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986
23,1900000,Other,4600000,River's Edge,R,8.05.1987 00:00,7.1,12862,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,River's Edge,"Crime, Drama",US,"sex, police, friends, murder",1987
