,budget,company,gross,name,rating,released,score,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,title,genres_edited,production_countries_edited,keywords_edited,year_released,budget_norm,score_norm,votes_norm
0,9000000,Walt Disney Pictures,18564613,Flight of the Navigator,PG,1.08.1986 00:00,6.9,36636,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,Flight of the Navigator,"Family, Science Fiction, Adventure",US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.8750190157433494,0.7308474182886203,-0.33646182445385314
1,6000000,Other,8551228,Blue Velvet,R,23.10.1986 00:00,7.8,146768,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,Blue Velvet,"Crime, Drama, Mystery, Thriller",US,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-1.0014907597768146,1.7873351545387612,1.563476349075296
2,16000000,Other,5900000,Highlander,R,7.03.1986 00:00,7.2,104860,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,Highlander,"Adventure, Action, Fantasy","GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.579918279665264,1.0830099970386673,0.840502018487823
3,6000000,Twentieth Century Fox Film Corporation,8200000,Lucas,PG-13,28.03.1986 00:00,6.8,12228,David Seltzer,1986,1,0.366666667,40,FALSE,13346,tt0091445,Lucas,Lucas,"Comedy, Drama, Romance",US,"high school, american football team, cheerleading",1986,-1.0014907597768146,0.613459892038604,-0.7575355445306653
4,25000000,Twentieth Century Fox Film Corporation,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,7.3,101678,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",US,"kung fu, chinatown, magic, mystery",1986,-0.20050304756486861,1.2003975232886828,0.785607861765256
5,15000000,Other,8620929,Manhunter,R,15.08.1986 00:00,7.2,54000,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,Manhunter,"Crime, Horror, Thriller",US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.622075527676419,1.0830099970386673,-0.03690741297344648
6,10000000,Other,7433663,Maximum Overdrive,R,25.07.1986 00:00,5.4,24881,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.8328617677321943,-1.0299654754616157,-0.5392527773997285
7,25000000,Other,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,6.9,53327,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,Little Shop of Horrors,"Horror, Comedy, Music",US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.20050304756486861,0.7308474182886203,-0.04851764788051361
8,2700000,Other,3500000,The Wraith,PG-13,21.11.1986 00:00,5.9,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,The Wraith,"Romance, Science Fiction, Horror, Action, Crime","US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.1406096782136261,-0.443027844211537,-0.7677656623611123
9,35000000,Universal Pictures,16295774,Howard the Duck,PG,1.08.1986 00:00,4.6,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,Howard the Duck,"Comedy, Fantasy, Science Fiction",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.22106943254668185,-1.9690656854617425,-0.34708872594382845
10,4700000,Other,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,5.6,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,Horror,US,"hammer, gore, slasher, chainsaw, b horror",1986,-1.056295182191316,-0.795190422961585,-0.601841086824453
