budget,company,director,gross,name,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
8000000,Columbia Pictures Corporation,Rob Reiner,52287414,Stand by Me,22.08.1986 00:00,Wil Wheaton,Stephen King,1986,1,5.53592675,550
6000000,Paramount Pictures,John Hughes,70136369,Ferris Bueller's Day Off,11.06.1986 00:00,Matthew Broderick,John Hughes,1986,1,10.68939483,1070
15000000,Paramount Pictures,Tony Scott,179800601,Top Gun,16.05.1986 00:00,Tom Cruise,Jim Cash,1986,1,10.98670673,1100
18500000,Twentieth Century Fox Film Corporation,James Cameron,85160248,Aliens,18.07.1986 00:00,Sigourney Weaver,James Cameron,1986,1,3.603256649,360
9000000,Walt Disney Pictures,Randal Kleiser,18564613,Flight of the Navigator,1.08.1986 00:00,Joey Cramer,Mark H. Baker,1986,1,1.062734778,110
6000000,Hemdale,Oliver Stone,138530565,Platoon,6.02.1987 00:00,Charlie Sheen,Oliver Stone,1986,1,22.0884275,2210
25000000,Henson Associates (HA),Jim Henson,12729917,Labyrinth,27.06.1986 00:00,David Bowie,Dennis Lee,1986,0,-0.49080332,-50
6000000,De Laurentiis Entertainment Group (DEG),David Lynch,8551228,Blue Velvet,23.10.1986 00:00,Isabella Rossellini,David Lynch,1986,1,0.425204667,40
9000000,Paramount Pictures,Howard Deutch,40471663,Pretty in Pink,28.02.1986 00:00,Molly Ringwald,John Hughes,1986,1,3.496851444,350
15000000,SLM Production Group,David Cronenberg,40456565,The Fly,15.08.1986 00:00,Jeff Goldblum,George Langelaan,1986,1,1.697104333,170
8800000,Rimfire Films,Peter Faiman,174635000,Crocodile Dundee,26.09.1986 00:00,Paul Hogan,Ken Shadie,1986,1,18.84488636,1880
16000000,Thorn EMI Screen Entertainment,Russell Mulcahy,5900000,Highlander,7.03.1986 00:00,Christopher Lambert,Gregory Widen,1986,0,-0.63125,-60
6000000,Twentieth Century Fox Film Corporation,David Seltzer,8200000,Lucas,28.03.1986 00:00,Corey Haim,David Seltzer,1986,1,0.366666667,40
25000000,Twentieth Century Fox Film Corporation,John Carpenter,11100000,Big Trouble in Little China,2.07.1986 00:00,Kurt Russell,Gary Goldman,1986,0,-0.556,-60
15000000,De Laurentiis Entertainment Group (DEG),Michael Mann,8620929,Manhunter,15.08.1986 00:00,William Petersen,Thomas Harris,1986,0,-0.4252714,-40
17000000,Producers Sales Organization (PSO),Adrian Lyne,6734844,9½ Weeks,21.02.1986 00:00,Mickey Rourke,Elizabeth McNeill,1986,0,-0.603832706,-60
10000000,De Laurentiis Entertainment Group (DEG),Stephen King,7433663,Maximum Overdrive,25.07.1986 00:00,Emilio Estevez,Stephen King,1986,0,-0.2566337,-30
25000000,"Geffen Company, The",Frank Oz,38747385,Little Shop of Horrors,19.12.1986 00:00,Rick Moranis,Howard Ashman,1986,1,0.5498954,50
2700000,New Century Entertainment Corporation,Mike Marvin,3500000,The Wraith,21.11.1986 00:00,Charlie Sheen,Mike Marvin,1986,1,0.296296296,30
35000000,Universal Pictures,Willard Huyck,16295774,Howard the Duck,1.08.1986 00:00,Lea Thompson,Steve Gerber,1986,0,-0.534406457,-50
2000000,New Line Cinema,Stephen Herek,13167232,Critters,11.04.1986 00:00,Dee Wallace,Domonic Muir,1986,1,5.583616,560
11000000,Orion Pictures,Alan Metter,91258000,Back to School,13.06.1986 00:00,Rodney Dangerfield,Rodney Dangerfield,1986,1,7.296181818,730
4700000,Cannon Films,Tobe Hooper,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,Dennis Hopper,L.M. Kit Carson,1986,1,0.70763234,70
15000000,Jay Weston Productions,Clint Eastwood,42724017,Heartbreak Ridge,5.12.1986 00:00,Clint Eastwood,James Carabatsos,1986,1,1.8482678,180
25000000,Paramount Pictures,Leonard Nimoy,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,William Shatner,Gene Roddenberry,1986,1,3.38852528,340
25000000,Paramount Pictures,Michael Ritchie,79817937,The Golden Child,12.12.1986 00:00,Eddie Murphy,Dennis Feldman,1986,1,2.19271748,220
1900000,Hemdale,Tim Hunter,4600000,River's Edge,8.05.1987 00:00,Crispin Glover,Neal Jimenez,1986,1,1.421052632,140
25000000,L.A. Films,John Landis,39246734,¡Three Amigos!,12.12.1986 00:00,Steve Martin,Steve Martin,1986,1,0.56986936,60
25000000,Warner Bros.,George P. Cosmatos,49042224,Cobra,23.05.1986 00:00,Sylvester Stallone,Paula Gosling,1986,1,0.96168896,100
24500000,Warner Bros.,Roland Joffé,17218023,The Mission,31.10.1986 00:00,Robert De Niro,Robert Bolt,1986,0,-0.297223551,-30
13800000,Touchstone Pictures,Martin Scorsese,52293982,The Color of Money,17.10.1986 00:00,Paul Newman,Walter Tevis,1986,1,2.789418986,280
6000000,HBO Films,Robert Harmon,5844868,The Hitcher,21.02.1986 00:00,Rutger Hauer,Eric Red,1986,0,-0.025855333,0
10000000,Amblin Entertainment,Richard Benjamin,37499651,The Money Pit,26.03.1986 00:00,Tom Hanks,David Giler,1986,1,2.7499651,270
3000000,Paramount Pictures,Tom McLoughlin,19472057,Jason Lives: Friday the 13th Part VI,1.08.1986 00:00,Thom Mathews,Tom McLoughlin,1986,1,5.490685667,550
25000000,The Saul Zaentz Company,Peter Weir,14302779,The Mosquito Coast,26.11.1986 00:00,Harrison Ford,Paul Theroux,1986,0,-0.42788884,-40
4000000,Initial Pictures,Alex Cox,2826523,Sid and Nancy,7.11.1986 00:00,Gary Oldman,Alex Cox,1986,0,-0.29336925,-30
10000000,De Laurentiis Entertainment Group (DEG),John Guillermin,4711220,King Kong Lives,19.12.1986 00:00,Brian Kerwin,Ronald Shusett,1986,0,-0.528878,-50
4500000,Empire Pictures,Stuart Gordon,1261000,From Beyond,24.10.1986 00:00,Jeffrey Combs,H.P. Lovecraft,1986,0,-0.719777778,-70
18000000,TriStar Pictures,Francis Ford Coppola,41382841,Peggy Sue Got Married,10.10.1986 00:00,Kathleen Turner,Jerry Leichtling,1986,1,1.299046722,130
19000000,Freddie Fields Productions,Brian Gibson,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,JoBeth Williams,Mark Victor,1986,1,1.157719211,120
1100000,Empire Pictures,John Carl Buechler,5450815,Troll,17.01.1986 00:00,Michael Moriarty,Ed Naha,1986,1,3.955286364,400
111000,Maljack Productions,John McNaughton,609939,Henry: Portrait of a Serial Killer,7.09.1990 00:00,Michael Rooker,Richard Fire,1986,1,4.494945946,450
18000000,ABC Motion Pictures,Harry Winer,9697739,SpaceCamp,6.06.1986 00:00,Kate Capshaw,Clifford Green,1986,0,-0.461236722,-50
6400000,Orion Pictures,Woody Allen,40084041,Hannah and Her Sisters,14.03.1986 00:00,Mia Farrow,Woody Allen,1986,1,5.263131406,530
14000000,Walt Disney Pictures,Ron Clements,38600000,The Great Mouse Detective,2.07.1986 00:00,Vincent Price,Peter Young,1986,1,1.757142857,180
8500000,De Laurentiis Entertainment Group (DEG),John Irvin,16209459,Raw Deal,6.06.1986 00:00,Arnold Schwarzenegger,Luciano Vincenzoni,1986,1,0.906995176,90
6000000,Sunbow Productions,Nelson Shin,5849647,The Transformers: The Movie,8.08.1986 00:00,Orson Welles,Ron Friedman,1986,0,-0.025058833,0
5000000,TriStar Pictures,Fred Dekker,591366,Night of the Creeps,22.08.1986 00:00,Jason Lively,Fred Dekker,1986,0,-0.8817268,-90
12000000,Cannon Pictures,Tobe Hooper,4884663,Invaders from Mars,6.06.1986 00:00,Karen Black,Richard Blake,1986,0,-0.59294475,-60
6000000,De Haven Productions,David Anspaugh,28607524,Hoosiers,27.02.1987 00:00,Gene Hackman,Angelo Pizzo,1986,1,3.767920667,380
6500000,Cinema '85,James Foley,2347000,At Close Range,18.04.1986 00:00,Sean Penn,Elliott Lewitt,1986,0,-0.638923077,-60
20000000,Paramount Pictures,Mike Nichols,25314289,Heartburn,25.07.1986 00:00,Meryl Streep,Nora Ephron,1986,1,0.26571445,30
15000000,Warner Bros.,Michael Chapman,1953732,The Clan of the Cave Bear,17.01.1986 00:00,Daryl Hannah,Jean M. Auel,1986,0,-0.8697512,-90
12000000,Golan-Globus Productions,Menahem Golan,17768900,The Delta Force,14.02.1986 00:00,Chuck Norris,James Bruner,1986,1,0.480741667,50
18000000,Paramount Pictures,Ron Howard,36611610,Gung Ho,14.03.1986 00:00,Michael Keaton,Edwin Blum,1986,1,1.033978333,100
175000,40 Acres & A Mule Filmworks,Spike Lee,7137502,She's Gotta Have It,8.08.1986 00:00,Tracy Camilla Johns,Spike Lee,1986,1,39.78572571,3979
8700000,Delphi V Productions,Paul Michael Glaser,4865912,Band of the Hand,11.04.1986 00:00,Stephen Lang,Leo Garen,1986,0,-0.44069977,-40
12000000,Columbia Pictures Corporation,Mark L. Lester,15945534,Armed and Dangerous,15.08.1986 00:00,John Candy,Brian Grazer,1986,1,0.3287945,30
1100000,Black Snake,Jim Jarmusch,1436000,Down by Law,30.10.1986 00:00,Tom Waits,Jim Jarmusch,1986,1,0.305454545,30
10000000,Orion Pictures,Robert Mandel,20603715,F/X,7.02.1986 00:00,Bryan Brown,Robert T. Megginson,1986,1,1.0603715,110
18000000,Gladden Entertainment,Marshall Brickman,3900000,The Manhattan Project,13.06.1986 00:00,John Lithgow,Marshall Brickman,1986,0,-0.783333333,-80
5000000,Paramount Pictures,Fred Walton,12947763,April Fool's Day,28.03.1986 00:00,Deborah Foreman,Danilo Bach,1986,1,1.5895526,160
25000000,Brooksfilms,Alan Johnson,1579260,Solarbabies,26.11.1986 00:00,Richard Jordan,Walon Green,1986,0,-0.9368296,-90
40000000,Carthago Films S.a.r.l.,Roman Polanski,1641825,Piratas,18.07.1986 00:00,Walter Matthau,John Brownjohn,1986,0,-0.958954375,-100
10000000,Touchstone Pictures,Jeff Kanew,21458229,Tough Guys,3.10.1986 00:00,Burt Lancaster,James Orr,1986,1,1.1458229,110
12000000,Cinema Group Ventures,Roger Spottiswoode,7790931,The Best of Times,31.01.1986 00:00,Robin Williams,Ron Shelton,1986,0,-0.35075575,-40
2000000,Paragon Arts International,Kevin Tenney,7369373,Witchboard,13.03.1987 00:00,Todd Allen,Kevin Tenney,1986,1,2.6846865,270
14000000,Touchstone Pictures,Paul Mazursky,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,Nick Nolte,René Fauchois,1986,1,3.438158929,340
8500000,Capital Equipment Leasing,Trevor Nunn,277646,Lady Jane,7.02.1986 00:00,Helena Bonham Carter,Chris Bryant,1986,0,-0.967335765,-100
18000000,Producers Sales Organization (PSO),Hal Ashby,1305114,8 Million Ways to Die,25.04.1986 00:00,Jeff Bridges,Lawrence Block,1986,0,-0.927493667,-90
8000000,Cannon Group,J. Lee Thompson,11834302,Firewalker,21.11.1986 00:00,Chuck Norris,Robert Gosnell,1986,1,0.47928775,50
3300000,Amaretto Films,Richard Wenk,4941117,Vamp,18.07.1986 00:00,Chris Makepeace,Donald P. Borchers,1986,1,0.497308182,50
15000000,Warner Bros.,Harold Ramis,12308521,Club Paradise,11.07.1986 00:00,Robin Williams,Harry Shearer,1986,0,-0.179431933,-20
40000000,Universal Pictures,Ivan Reitman,49851591,Legal Eagles,20.06.1986 00:00,Robert Redford,Ivan Reitman,1986,1,0.246289775,20
13000000,Metro-Goldwyn-Mayer (MGM),Brian De Palma,8475466,Wise Guys,18.04.1986 00:00,Danny DeVito,George Gallo,1986,0,-0.348041077,-30
17000000,HandMade Films,Jim Goddard,2315683,Shanghai Surprise,29.08.1986 00:00,Sean Penn,John Kohn,1986,0,-0.863783353,-90
16000000,Lorimar Productions,Sidney Lumet,3800000,Power,31.01.1986 00:00,Richard Gere,David Himmelstein,1986,0,-0.7625,-80
20000000,De Laurentiis Entertainment Group (DEG),Bruce Beresford,22905500,Crimes of the Heart,23.01.1987 00:00,Diane Keaton,Beth Henley,1986,1,0.145275,10
6000000,Golan-Globus Productions,J. Lee Thompson,9947631,Murphy's Law,18.04.1986 00:00,Charles Bronson,Gail Morgan Hickman,1986,1,0.6579385,70
4000000,"Cannon Group, The",Sam Firstenberg,4679650,Avenging Force,12.09.1986 00:00,Michael Dudikoff,James Booth,1986,1,0.1699125,20
18000000,Rastar Pictures,Gene Saks,11957943,Brighton Beach Memoirs,25.12.1986 00:00,Blythe Danner,Neil Simon,1986,0,-0.335669833,-30
25000000,De Laurentiis Entertainment Group (DEG),Daryl Duke,4007250,Tai-Pan,7.11.1986 00:00,Bryan Brown,John Briley,1986,0,-0.83971,-80
17000000,Escalante Productions,Dick Richards,2793214,Heat,13.03.1987 00:00,Burt Reynolds,William Goldman,1986,0,-0.835693294,-80
14000000,Columbia Pictures Corporation,Richard Pryor,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,Richard Pryor,Rocco Urbisci,1986,1,0.288153571,30
3401376,Cinema Group Ventures,Renny Harlin,3388020,Born American,29.08.1986 00:00,Mike Norris,Renny Harlin,1986,0,-0.003926646,0
10000000,Paramount Pictures,Michelle Manning,6947787,Blue City,2.05.1986 00:00,Judd Nelson,Ross Macdonald,1986,0,-0.3052213,-30
2000000,American Playhouse,Jerrold Freedman,1301121,Native Son,12.12.1986 00:00,Victor Love,Richard Wesley,1986,0,-0.3494395,-30
18000000,J&M; Entertainment,Zoran Perisic,2295500,Sky Bandits,31.10.1986 00:00,Scott McGinnis,Thom Keyes,1986,0,-0.872472222,-90
1500000,Cinetel Films,Fred Olen Ray,1368912,Armed Response,3.10.1986 00:00,David Carradine,T.L. Lankford,1986,0,-0.087392,-10
16000000,Act III Communications,Rob Reiner,30857814,The Princess Bride,9.10.1987 00:00,Cary Elwes,William Goldman,1987,1,0.928613375,90
1000000,Cinemarque Entertainment BV,Clive Barker,14564027,Hellraiser,18.09.1987 00:00,Andrew Robinson,Clive Barker,1987,1,13.564027,1360
30000000,Natant,Stanley Kubrick,46357676,Full Metal Jacket,10.07.1987 00:00,Matthew Modine,Gustav Hasford,1987,1,0.545255867,50
6000000,Great American Films Limited Partnership,Emile Ardolino,63952836,Dirty Dancing,21.08.1987 00:00,Patrick Swayze,Eleanor Bergstein,1987,1,9.658806,969
15000000,Amercent Films,John McTiernan,59735548,Predator,12.06.1987 00:00,Arnold Schwarzenegger,Jim Thomas,1987,1,2.982369867,300
27000000,Braveworld Productions,Paul Michael Glaser,38122105,The Running Man,13.11.1987 00:00,Arnold Schwarzenegger,Stephen King,1987,1,0.411929815,40
22700000,Brooksfilms,Mel Brooks,38119483,Spaceballs,24.06.1987 00:00,Mel Brooks,Mel Brooks,1987,1,0.679272379,70
13000000,Orion Pictures,Paul Verhoeven,53424681,RoboCop,17.07.1987 00:00,Peter Weller,Edward Neumeier,1987,1,3.109590846,310
15000000,Warner Bros.,Richard Donner,65207127,Lethal Weapon,6.03.1987 00:00,Mel Gibson,Shane Black,1987,1,3.3471418,330
25000000,Paramount Pictures,Brian De Palma,76270454,The Untouchables,3.06.1987 00:00,Kevin Costner,Oscar Fraley,1987,1,2.05081816,210
3600000,De Laurentiis Entertainment Group (DEG),Sam Raimi,5923044,Evil Dead II,13.03.1987 00:00,Bruce Campbell,Sam Raimi,1987,1,0.64529,60
22000000,Golan-Globus Productions,Gary Goddard,17336370,Masters of the Universe,7.08.1987 00:00,Dolph Lundgren,David Odell,1987,0,-0.211983182,-20
12000000,Home Box Office (HBO),Fred Dekker,3769990,The Monster Squad,14.08.1987 00:00,Andre Gower,Shane Black,1987,0,-0.685834167,-70
14000000,Paramount Pictures,Adrian Lyne,156645693,Fatal Attraction,18.09.1987 00:00,Michael Douglas,James Dearden,1987,1,10.18897807,1019
30000000,Eon Productions,John Glen,51185897,The Living Daylights,31.07.1987 00:00,Timothy Dalton,Richard Maibaum,1987,1,0.706196567,70
15000000,Twentieth Century Fox Film Corporation,Oliver Stone,43848100,Wall Street,11.12.1987 00:00,Charlie Sheen,Stanley Weiser,1987,1,1.923206667,190
35000000,Amblin Entertainment,Steven Spielberg,22238696,Empire of the Sun,25.12.1987 00:00,Christian Bale,Tom Stoppard,1987,0,-0.364608686,-40
22000000,Warner Bros.,George Miller,63766510,The Witches of Eastwick,12.06.1987 00:00,Jack Nicholson,John Updike,1987,1,1.898477727,190
4500000,New Line Cinema,Chuck Russell,44793222,A Nightmare on Elm Street 3: Dream Warriors,27.02.1987 00:00,Heather Langenkamp,Wes Craven,1987,1,8.954049333,900
23000000,Universal Pictures,Joseph Sargent,20763013,Jaws: The Revenge,17.07.1987 00:00,Lorraine Gary,Peter Benchley,1987,0,-0.097260304,-10
25000000,Cannon Group,Menahem Golan,16057580,Over the Top,13.02.1987 00:00,Sylvester Stallone,Gary Conway,1987,0,-0.3576968,-40
30000000,Paramount Pictures,John Hughes,49530280,"Planes, Trains & Automobiles",25.11.1987 00:00,Steve Martin,John Hughes,1987,1,0.651009333,70
6000000,Circle Films,Joel Coen,22847564,Raising Arizona,17.04.1987 00:00,Nicolas Cage,Ethan Coen,1987,1,2.807927333,280
17000000,Carolco International N.V.,Alan Parker,17185632,Angel Heart,6.03.1987 00:00,Mickey Rourke,William Hjortsberg,1987,1,0.010919529,0
6000000,Gladden Entertainment,Michael Gottlieb,42721196,Mannequin,13.02.1987 00:00,Andrew McCarthy,Edward Rugoff,1987,1,6.120199333,610
27000000,Warner Bros.,Joe Dante,25893810,Innerspace,1.07.1987 00:00,Dennis Quaid,Chip Proser,1987,0,-0.04097,0
15000000,Metro-Goldwyn-Mayer (MGM),Norman Jewison,80640528,Moonstruck,15.01.1988 00:00,Cher,John Patrick Shanley,1987,1,4.3760352,440
28000000,Paramount Pictures,Tony Scott,153665000,Beverly Hills Cop II,20.05.1987 00:00,Eddie Murphy,Danilo Bach,1987,1,4.488035714,450
23000000,Recorded Picture Company (RPC),Bernardo Bertolucci,43984230,The Last Emperor,15.04.1988 00:00,John Lone,Mark Peploe,1987,1,0.912357826,90
13000000,Touchstone Pictures,Barry Levinson,123922370,"Good Morning, Vietnam",15.01.1988 00:00,Robin Williams,Mitch Markowitz,1987,1,8.53249,850
2600000,Merchant Ivory Productions,James Ivory,3130592,Maurice,18.09.1987 00:00,James Wilby,E.M. Forster,1987,1,0.204073846,20
11000000,Interscope Communications,Leonard Nimoy,167780960,3 Men and a Baby,25.11.1987 00:00,Tom Selleck,Coline Serreau,1987,1,14.25281455,1430
3000000,Alive Films,John Carpenter,14182492,Prince of Darkness,23.10.1987 00:00,Donald Pleasence,John Carpenter,1987,1,3.727497333,370
6500000,Columbia Pictures Corporation,Luis Valdez,54215416,La Bamba,24.07.1987 00:00,Lou Diamond Phillips,Luis Valdez,1987,1,7.340833231,730
