,budget,company,director,gross,name,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,overview,popularity,title,keywords_edited,year_released,budget_norm,popularity_norm
0,9000000,Walt Disney Pictures,Other,18564613,Flight of the Navigator,1.08.1986 00:00,Joey Cramer,Mark H. Baker,1986,1,1.062734778,110,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",5.526865,Flight of the Navigator,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.8749745908451441,-0.6913542209899094
1,6000000,Other,Other,8551228,Blue Velvet,23.10.1986 00:00,Isabella Rossellini,David Lynch,1986,1,0.425204667,40,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.882247,Blue Velvet,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-0.9994785754242631,-0.06531228096158696
2,16000000,Other,Other,5900000,Highlander,7.03.1986 00:00,Christopher Lambert,Gregory Widen,1986,0,-0.63125,-60,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,16.870392,Highlander,"new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.5844652934938663,2.3236656992793536
3,6000000,Twentieth Century Fox Film Corporation,Other,8200000,Lucas,28.03.1986 00:00,Corey Haim,David Seltzer,1986,1,0.366666667,40,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",4.57535,Lucas,"high school, american football team, cheerleading",1986,-0.9994785754242631,-0.944259395847342
4,25000000,Twentieth Century Fox Film Corporation,Other,11100000,Big Trouble in Little China,2.07.1986 00:00,Kurt Russell,Gary Goldman,1986,0,-0.556,-60,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",11.109932,Big Trouble in Little China,"kung fu, chinatown, magic, mystery",1986,-0.21095333975650918,0.7925809096972178
5,15000000,Other,Other,8620929,Manhunter,15.08.1986 00:00,William Petersen,Thomas Harris,1986,0,-0.4252714,-40,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",0.338943,Manhunter,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.625966621686906,-2.0702629303184237
6,10000000,Other,Other,7433663,Maximum Overdrive,25.07.1986 00:00,Emilio Estevez,Stephen King,1986,0,-0.2566337,-30,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",6.614078,Maximum Overdrive,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.8334732626521044,-0.4023815890584381
7,25000000,Other,Other,38747385,Little Shop of Horrors,19.12.1986 00:00,Rick Moranis,Howard Ashman,1986,1,0.5498954,50,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",7.409179,Little Shop of Horrors,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.21095333975650918,-0.19105002052371245
8,2700000,Other,Other,3500000,The Wraith,21.11.1986 00:00,Charlie Sheen,Mike Marvin,1986,1,0.296296296,30,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",7.657918,The Wraith,"male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.136432958461294,-0.12493715810024794
9,35000000,Universal Pictures,Other,16295774,Howard the Duck,1.08.1986 00:00,Lea Thompson,Steve Gerber,1986,0,-0.534406457,-50,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,10.722672,Howard the Duck,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.20405994217388765,0.6896502590870964
10,4700000,Other,Other,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,Dennis Hopper,L.M. Kit Carson,1986,1,0.70763234,70,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,9.501011,The Texas Chainsaw Massacre 2,"hammer, gore, slasher, chainsaw, b horror",1986,-1.0534303020752147,0.3649424102129265
11,15000000,Other,Clint Eastwood,42724017,Heartbreak Ridge,5.12.1986 00:00,Clint Eastwood,James Carabatsos,1986,1,1.8482678,180,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",7.390012,Heartbreak Ridge,"recruit, officer, battle assignment, marine, platoon, combat",1986,-0.625966621686906,-0.1961444578016245
12,25000000,Paramount Pictures,Other,79817937,The Golden Child,12.12.1986 00:00,Eddie Murphy,Dennis Feldman,1986,1,2.19271748,220,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",8.236472,The Golden Child,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.21095333975650918,0.028837927457485726
13,1900000,Other,Other,4600000,River's Edge,8.05.1987 00:00,Crispin Glover,Neal Jimenez,1986,1,1.421052632,140,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",4.482439,River's Edge,"sex, police, friends, murder",1987,-1.1696340210157259,-0.9689544061216717
14,25000000,Other,Other,39246734,¡Three Amigos!,12.12.1986 00:00,Steve Martin,Steve Martin,1986,1,0.56986936,60,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.",6.377624,¡Three Amigos!,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.21095333975650918,-0.4652291954710952
15,13800000,Touchstone Pictures,Martin Scorsese,52293982,The Color of Money,17.10.1986 00:00,Paul Newman,Walter Tevis,1986,1,2.789418986,280,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",11.613655,The Color of Money,"bar, billard, talent, hustler, sport",1986,-0.6757682155185536,0.9264665062403205
16,10000000,Other,Other,37499651,The Money Pit,26.03.1986 00:00,Tom Hanks,David Giler,1986,1,2.7499651,270,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",7.054864,The Money Pit,"rock star, price, chaos, house, home ownership",1986,-0.8334732626521044,-0.2852241502322416
17,25000000,Other,Other,14302779,The Mosquito Coast,26.11.1986 00:00,Harrison Ford,Paul Theroux,1986,0,-0.42788884,-40,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",6.224859,The Mosquito Coast,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.21095333975650918,-0.5058329264023949
18,10000000,Other,Other,4711220,King Kong Lives,19.12.1986 00:00,Brian Kerwin,Ronald Shusett,1986,0,-0.528878,-50,31947,tt0091344,King Kong Lives,Kong falls from the twin towers and he appears to be alive!,2.663294,King Kong Lives,"king kong, giant ape",1986,-0.8334732626521044,-1.4524687851025855
19,4500000,Other,Other,1261000,From Beyond,24.10.1986 00:00,Jeffrey Combs,H.P. Lovecraft,1986,0,-0.719777778,-70,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",7.522655,From Beyond,"human experimentation, h.p. lovecraft, parallel world",1986,-1.0617305677138227,-0.16088899560858014
20,18000000,TriStar Pictures,Other,41382841,Peggy Sue Got Married,10.10.1986 00:00,Kathleen Turner,Jerry Leichtling,1986,1,1.299046722,130,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",7.471655,Peggy Sue Got Married,"time travel, high school reunion",1986,-0.5014626371077869,-0.17444439296724407
21,19000000,Other,Other,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,JoBeth Williams,Mark Victor,1986,1,1.157719211,120,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",6.701138,Poltergeist II: The Other Side,"monster, poltergeist, supernatural powers, family secrets",1986,-0.45996130891474724,-0.3792417283908836
22,18000000,Other,Other,9697739,SpaceCamp,6.06.1986 00:00,Kate Capshaw,Clifford Green,1986,0,-0.461236722,-50,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",6.41742,SpaceCamp,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.5014626371077869,-0.45465173285765625
23,14000000,Walt Disney Pictures,Other,38600000,The Great Mouse Detective,2.07.1986 00:00,Vincent Price,Peter Young,1986,1,1.757142857,180,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",11.183924,The Great Mouse Detective,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.6674679498799456,0.8122473991356931
