id,imdb_id,original_title,popularity,title
862,tt0114709,Toy Story,21.946943,Toy Story
8844,tt0113497,Jumanji,17.015539,Jumanji
15602,tt0113228,Grumpier Old Men,11.7129,Grumpier Old Men
31357,tt0114885,Waiting to Exhale,3.859495,Waiting to Exhale
11862,tt0113041,Father of the Bride Part II,8.387519,Father of the Bride Part II
949,tt0113277,Heat,17.924927,Heat
11860,tt0114319,Sabrina,6.677277,Sabrina
45325,tt0112302,Tom and Huck,2.561161,Tom and Huck
9091,tt0114576,Sudden Death,5.23158,Sudden Death
710,tt0113189,GoldenEye,14.686036,GoldenEye
9087,tt0112346,The American President,6.318445,The American President
12110,tt0112896,Dracula: Dead and Loving It,5.430331,Dracula: Dead and Loving It
21032,tt0112453,Balto,12.140733,Balto
10858,tt0113987,Nixon,5.092,Nixon
1408,tt0112760,Cutthroat Island,7.284477,Cutthroat Island
524,tt0112641,Casino,10.137389,Casino
4584,tt0114388,Sense and Sensibility,10.673167,Sense and Sensibility
5,tt0113101,Four Rooms,9.026586,Four Rooms
9273,tt0112281,Ace Ventura: When Nature Calls,8.205448,Ace Ventura: When Nature Calls
11517,tt0113845,Money Train,7.337906,Money Train
8012,tt0113161,Get Shorty,12.669608,Get Shorty
1710,tt0112722,Copycat,10.701801,Copycat
9691,tt0112401,Assassins,11.065939,Assassins
12665,tt0114168,Powder,12.133094,Powder
451,tt0113627,Leaving Las Vegas,10.332025,Leaving Las Vegas
16420,tt0114057,Othello,1.845899,Othello
9263,tt0114011,Now and Then,8.681325,Now and Then
17015,tt0114117,Persuasion,2.228434,Persuasion
902,tt0112682,La Cité des Enfants Perdus,9.822423,The City of Lost Children
37557,tt0115012,摇啊摇，摇到外婆桥,1.100915,Shanghai Triad
9909,tt0112792,Dangerous Minds,9.481338,Dangerous Minds
63,tt0114746,Twelve Monkeys,12.297305,Twelve Monkeys
78802,tt0114952,"Guillaumet, les ailes du courage",0.745542,Wings of Courage
9598,tt0112431,Babe,14.404764,Babe
47018,tt0112637,Carrington,1.493361,Carrington
687,tt0112818,Dead Man Walking,6.891317,Dead Man Walking
139405,tt0112286,Across the Sea of Time,0.114469,Across the Sea of Time
33689,tt0113442,It Takes Two,7.777735,It Takes Two
9603,tt0112697,Clueless,9.882383,Clueless
34615,tt0112749,"Cry, the Beloved Country",0.894647,"Cry, the Beloved Country"
31174,tt0114279,Richard III,4.561387,Richard III
11443,tt0112819,Dead Presidents,9.87957,Dead Presidents
35196,tt0114272,Restoration,10.979269,Restoration
9312,tt0113855,Mortal Kombat,10.870138,Mortal Kombat
577,tt0114681,To Die For,10.448481,To Die For
11861,tt0113347,How To Make An American Quilt,4.485958,How To Make An American Quilt
807,tt0114369,Se7en,18.45743,Se7en
10530,tt0114148,Pocahontas,13.280069,Pocahontas
8391,tt0114916,When Night Is Falling,3.302524,When Night Is Falling
629,tt0114814,The Usual Suspects,16.302466,The Usual Suspects
117164,tt0109950,Guardian Angel,0.595949,Guardian Angel
11448,tt0113819,Mighty Aphrodite,15.899134,Mighty Aphrodite
49133,tt0110299,Lamerica,1.361286,Lamerica
26441,tt0112499,The Big Green,5.982764,The Big Green
97406,tt0113158,Georgia,4.093443,Georgia
124057,tt0113541,Kids of the Round Table,0.307075,Kids of the Round Table
9089,tt0113321,Home for the Holidays,8.416802,Home for the Holidays
11010,tt0110877,Il postino,10.168437,The Postman
99040,tt0112714,Le confessionnal,0.120789,The Confessional
11359,tt0113419,The Indian in the Cupboard,10.673296,The Indian in the Cupboard
17182,tt0116260,Eye for an Eye,4.733526,Eye for an Eye
2054,tt0113862,Mr. Holland's Opus,7.137117,Mr. Holland's Opus
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,tt0118002,Two If by Sea,2.174487,Two If by Sea
9536,tt0115683,Bio-Dome,6.387469,Bio-Dome
