budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
8000000,52287414,Stand by Me,22.08.1986 00:00,89,8.1,299174,1986,1,5.53592675,550
6000000,70136369,Ferris Bueller's Day Off,11.06.1986 00:00,103,7.8,264740,1986,1,10.68939483,1070
15000000,179800601,Top Gun,16.05.1986 00:00,110,6.9,236909,1986,1,10.98670673,1100
18500000,85160248,Aliens,18.07.1986 00:00,137,8.4,540152,1986,1,3.603256649,360
9000000,18564613,Flight of the Navigator,1.08.1986 00:00,90,6.9,36636,1986,1,1.062734778,110
6000000,138530565,Platoon,6.02.1987 00:00,120,8.1,317585,1986,1,22.0884275,2210
25000000,12729917,Labyrinth,27.06.1986 00:00,101,7.4,102879,1986,0,-0.49080332,-50
6000000,8551228,Blue Velvet,23.10.1986 00:00,120,7.8,146768,1986,1,0.425204667,40
9000000,40471663,Pretty in Pink,28.02.1986 00:00,96,6.8,60565,1986,1,3.496851444,350
15000000,40456565,The Fly,15.08.1986 00:00,96,7.5,129698,1986,1,1.697104333,170
8800000,174635000,Crocodile Dundee,26.09.1986 00:00,97,6.5,79465,1986,1,18.84488636,1880
16000000,5900000,Highlander,7.03.1986 00:00,116,7.2,104860,1986,0,-0.63125,-60
6000000,8200000,Lucas,28.03.1986 00:00,100,6.8,12228,1986,1,0.366666667,40
25000000,11100000,Big Trouble in Little China,2.07.1986 00:00,99,7.3,101678,1986,0,-0.556,-60
15000000,8620929,Manhunter,15.08.1986 00:00,120,7.2,54000,1986,0,-0.4252714,-40
17000000,6734844,9½ Weeks,21.02.1986 00:00,117,5.9,31798,1986,0,-0.603832706,-60
10000000,7433663,Maximum Overdrive,25.07.1986 00:00,98,5.4,24881,1986,0,-0.2566337,-30
25000000,38747385,Little Shop of Horrors,19.12.1986 00:00,94,6.9,53327,1986,1,0.5498954,50
2700000,3500000,The Wraith,21.11.1986 00:00,93,5.9,11635,1986,1,0.296296296,30
35000000,16295774,Howard the Duck,1.08.1986 00:00,110,4.6,36020,1986,0,-0.534406457,-50
2000000,13167232,Critters,11.04.1986 00:00,82,6,25517,1986,1,5.583616,560
11000000,91258000,Back to School,13.06.1986 00:00,96,6.6,23120,1986,1,7.296181818,730
4700000,8025872,The Texas Chainsaw Massacre 2,22.08.1986 00:00,89,5.6,21253,1986,1,0.70763234,70
15000000,42724017,Heartbreak Ridge,5.12.1986 00:00,130,6.8,32954,1986,1,1.8482678,180
25000000,109713132,Star Trek IV: The Voyage Home,26.11.1986 00:00,119,7.3,66366,1986,1,3.38852528,340
25000000,79817937,The Golden Child,12.12.1986 00:00,94,5.9,42997,1986,1,2.19271748,220
1900000,4600000,River's Edge,8.05.1987 00:00,99,7.1,12862,1986,1,1.421052632,140
25000000,39246734,¡Three Amigos!,12.12.1986 00:00,104,6.4,57406,1986,1,0.56986936,60
25000000,49042224,Cobra,23.05.1986 00:00,87,5.7,54851,1986,1,0.96168896,100
24500000,17218023,The Mission,31.10.1986 00:00,125,7.5,47497,1986,0,-0.297223551,-30
13800000,52293982,The Color of Money,17.10.1986 00:00,119,7,62495,1986,1,2.789418986,280
6000000,5844868,The Hitcher,21.02.1986 00:00,97,7.3,36191,1986,0,-0.025855333,0
10000000,37499651,The Money Pit,26.03.1986 00:00,91,6.3,41278,1986,1,2.7499651,270
3000000,19472057,Jason Lives: Friday the 13th Part VI,1.08.1986 00:00,86,5.9,28310,1986,1,5.490685667,550
25000000,14302779,The Mosquito Coast,26.11.1986 00:00,117,6.6,23076,1986,0,-0.42788884,-40
4000000,2826523,Sid and Nancy,7.11.1986 00:00,112,7.1,25032,1986,0,-0.29336925,-30
10000000,4711220,King Kong Lives,19.12.1986 00:00,105,3.8,4401,1986,0,-0.528878,-50
4500000,1261000,From Beyond,24.10.1986 00:00,86,6.7,16636,1986,0,-0.719777778,-70
18000000,41382841,Peggy Sue Got Married,10.10.1986 00:00,103,6.3,28529,1986,1,1.299046722,130
19000000,40996665,Poltergeist II: The Other Side,23.05.1986 00:00,91,5.7,20669,1986,1,1.157719211,120
1100000,5450815,Troll,17.01.1986 00:00,82,4.3,7569,1986,1,3.955286364,400
111000,609939,Henry: Portrait of a Serial Killer,7.09.1990 00:00,83,7,25367,1986,1,4.494945946,450
18000000,9697739,SpaceCamp,6.06.1986 00:00,107,5.6,11484,1986,0,-0.461236722,-50
6400000,40084041,Hannah and Her Sisters,14.03.1986 00:00,107,8,56988,1986,1,5.263131406,530
14000000,38600000,The Great Mouse Detective,2.07.1986 00:00,74,7.2,36539,1986,1,1.757142857,180
8500000,16209459,Raw Deal,6.06.1986 00:00,106,5.5,24851,1986,1,0.906995176,90
6000000,5849647,The Transformers: The Movie,8.08.1986 00:00,84,7.3,33609,1986,0,-0.025058833,0
5000000,591366,Night of the Creeps,22.08.1986 00:00,88,6.8,16077,1986,0,-0.8817268,-90
12000000,4884663,Invaders from Mars,6.06.1986 00:00,100,5.5,5878,1986,0,-0.59294475,-60
6000000,28607524,Hoosiers,27.02.1987 00:00,114,7.6,36604,1986,1,3.767920667,380
6500000,2347000,At Close Range,18.04.1986 00:00,111,7,11607,1986,0,-0.638923077,-60
20000000,25314289,Heartburn,25.07.1986 00:00,108,6.1,7570,1986,1,0.26571445,30
15000000,1953732,The Clan of the Cave Bear,17.01.1986 00:00,98,5.3,5340,1986,0,-0.8697512,-90
12000000,17768900,The Delta Force,14.02.1986 00:00,125,5.6,15819,1986,1,0.480741667,50
18000000,36611610,Gung Ho,14.03.1986 00:00,112,6.2,9965,1986,1,1.033978333,100
175000,7137502,She's Gotta Have It,8.08.1986 00:00,84,6.6,5257,1986,1,39.78572571,3979
8700000,4865912,Band of the Hand,11.04.1986 00:00,109,6.3,2297,1986,0,-0.44069977,-40
12000000,15945534,Armed and Dangerous,15.08.1986 00:00,88,5.6,9040,1986,1,0.3287945,30
1100000,1436000,Down by Law,30.10.1986 00:00,107,7.8,39456,1986,1,0.305454545,30
10000000,20603715,F/X,7.02.1986 00:00,109,6.7,14502,1986,1,1.0603715,110
18000000,3900000,The Manhattan Project,13.06.1986 00:00,117,6.1,4666,1986,0,-0.783333333,-80
5000000,12947763,April Fool's Day,28.03.1986 00:00,89,6.2,11458,1986,1,1.5895526,160
25000000,1579260,Solarbabies,26.11.1986 00:00,94,4.8,3397,1986,0,-0.9368296,-90
