,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released
0,8000000,52287414,Stand by Me,22.08.1986 00:00,89,8.1,299174,1986,1,5.53592675,550,235,tt0092005,Stand by Me,15.206957,Stand by Me,1986
1,6000000,70136369,Ferris Bueller's Day Off,11.06.1986 00:00,103,7.8,264740,1986,1,10.68939483,1070,9377,tt0091042,Ferris Bueller's Day Off,12.724645,Ferris Bueller's Day Off,1986
2,15000000,179800601,Top Gun,16.05.1986 00:00,110,6.9,236909,1986,1,10.98670673,1100,744,tt0092099,Top Gun,20.301019,Top Gun,1986
3,18500000,85160248,Aliens,18.07.1986 00:00,137,8.4,540152,1986,1,3.603256649,360,679,tt0090605,Aliens,21.761179,Aliens,1986
4,9000000,18564613,Flight of the Navigator,1.08.1986 00:00,90,6.9,36636,1986,1,1.062734778,110,10122,tt0091059,Flight of the Navigator,5.526865,Flight of the Navigator,1986
5,6000000,138530565,Platoon,6.02.1987 00:00,120,8.1,317585,1986,1,22.0884275,2210,792,tt0091763,Platoon,18.206972,Platoon,1987
6,6000000,8551228,Blue Velvet,23.10.1986 00:00,120,7.8,146768,1986,1,0.425204667,40,793,tt0090756,Blue Velvet,7.882247,Blue Velvet,1986
7,9000000,40471663,Pretty in Pink,28.02.1986 00:00,96,6.8,60565,1986,1,3.496851444,350,11522,tt0091790,Pretty in Pink,8.568378,Pretty in Pink,1986
8,8800000,174635000,Crocodile Dundee,26.09.1986 00:00,97,6.5,79465,1986,1,18.84488636,1880,9671,tt0090555,Crocodile Dundee,7.791212,Crocodile Dundee,1986
9,16000000,5900000,Highlander,7.03.1986 00:00,116,7.2,104860,1986,0,-0.63125,-60,8009,tt0091203,Highlander,16.870392,Highlander,1986
10,6000000,8200000,Lucas,28.03.1986 00:00,100,6.8,12228,1986,1,0.366666667,40,13346,tt0091445,Lucas,4.57535,Lucas,1986
11,25000000,11100000,Big Trouble in Little China,2.07.1986 00:00,99,7.3,101678,1986,0,-0.556,-60,6978,tt0090728,Big Trouble in Little China,11.109932,Big Trouble in Little China,1986
