,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
0,9000000,18564613,Flight of the Navigator,1.08.1986 00:00,90,6.9,36636,1986,1,1.062734778,110,10122,tt0091059,Flight of the Navigator,5.526865,Flight of the Navigator,1986,-0.8378934914483813,-1.076406808391739,0.7726129565430073,-0.27930885214473655,-0.5979202507776077
1,6000000,8551228,Blue Velvet,23.10.1986 00:00,120,7.8,146768,1986,1,0.425204667,40,793,tt0090756,Blue Velvet,7.882247,Blue Velvet,1986,-0.9693362093553498,1.0527094527455194,1.8437956786717442,1.7011083785306376,0.04761918644404728
2,16000000,5900000,Highlander,7.03.1986 00:00,116,7.2,104860,1986,0,-0.63125,-60,8009,tt0091203,Highlander,16.870392,Highlander,1986,-0.5311938163321215,0.7688272845938849,1.129673863919253,0.9475097395960538,2.5109996763037103
3,6000000,8200000,Lucas,28.03.1986 00:00,100,6.8,12228,1986,1,0.366666667,40,13346,tt0091445,Lucas,4.57535,Lucas,1986,-0.9693362093553498,-0.36670138801265284,0.653592654084258,-0.7182187399732017,-0.8587019233929044
4,25000000,11100000,Big Trouble in Little China,2.07.1986 00:00,99,7.3,101678,1986,0,-0.556,-60,6978,tt0090728,Big Trouble in Little China,11.109932,Big Trouble in Little China,1986,-0.136865662611216,-0.4376719300505615,1.2486941663780011,0.890290333537787,0.9322306670568644
5,15000000,8620929,Manhunter,15.08.1986 00:00,120,7.2,54000,1986,0,-0.4252714,-40,11454,tt0091474,Manhunter,0.338943,Manhunter,1986,-0.5750080556344443,1.0527094527455194,1.129673863919253,0.0329343178099287,-2.0197737964996363
6,10000000,7433663,Maximum Overdrive,25.07.1986 00:00,98,5.4,24881,1986,0,-0.2566337,-30,9980,tt0091499,Maximum Overdrive,6.614078,Maximum Overdrive,1986,-0.7940792521460586,-0.5086424720884701,-1.012691580338222,-0.4906897818163036,-0.29994783349664544
7,25000000,38747385,Little Shop of Horrors,19.12.1986 00:00,94,6.9,53327,1986,1,0.5498954,50,10776,tt0091419,Little Shop of Horrors,7.409179,Little Shop of Horrors,1986,-0.136865662611216,-0.7925246402401046,0.7726129565430073,0.020832287553104824,-0.08203453872137118
8,2700000,3500000,The Wraith,21.11.1986 00:00,93,5.9,11635,1986,1,0.296296296,30,10017,tt0092240,The Wraith,7.657918,The Wraith,1986,-1.1139231990530152,-0.8634951822780131,-0.41759006804447885,-0.728882193082112,-0.01386265234579516
9,35000000,16295774,Howard the Duck,1.08.1986 00:00,110,4.6,36020,1986,0,-0.534406457,-50,10658,tt0091225,Howard the Duck,10.722672,Howard the Duck,1986,0.30127673041201236,0.3430040323664333,-1.9648540000082118,-0.29038589618367194,0.8260943365344867
