,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
0,4,1986,9000000,1,-0.9236832256838698,1,1.062734778
1,6,1986,6000000,1,-1.0492825931721106,1,0.425204667
2,6,1986,16000000,0,-0.6306180348779747,0,-0.63125
3,5,1986,6000000,1,-1.0492825931721106,1,0.366666667
4,5,1986,25000000,1,-0.2538199324132523,0,-0.556
5,6,1986,15000000,1,-0.6724844907073882,0,-0.4252714
6,6,1986,10000000,1,-0.8818167698544563,0,-0.2566337
7,5,1986,25000000,1,-0.2538199324132523,1,0.5498954
8,5,1986,2700000,1,-1.1874418974091756,1,0.296296296
9,4,1986,35000000,1,0.1648446258808837,0,-0.534406457
10,7,1986,4700000,1,-1.1037089857503484,1,0.70763234
11,6,1986,15000000,1,-0.6724844907073882,1,1.8482678
12,4,1986,25000000,1,-0.2538199324132523,1,3.38852528
13,5,1986,25000000,1,-0.2538199324132523,1,2.19271748
14,6,1986,1900000,1,-1.2209350620727064,1,1.421052632
15,4,1986,25000000,1,-0.2538199324132523,1,0.56986936
16,6,1986,13800000,1,-0.7227242377026846,1,2.789418986
17,4,1986,10000000,1,-0.8818167698544563,1,2.7499651
18,4,1986,25000000,1,-0.2538199324132523,0,-0.42788884
19,5,1986,10000000,1,-0.8818167698544563,0,-0.528878
20,6,1986,4500000,1,-1.112082276916231,0,-0.719777778
21,5,1986,18000000,1,-0.5468851232191475,1,1.299046722
22,5,1986,19000000,1,-0.5050186673897339,1,1.157719211
23,4,1986,18000000,1,-0.5468851232191475,0,-0.461236722
24,0,1986,14000000,1,-0.7143509465368019,1,1.757142857
25,4,1986,6000000,1,-1.0492825931721106,0,-0.025058833
26,6,1986,5000000,1,-1.0911490490015243,0,-0.8817268
27,6,1986,6500000,1,-1.0283493652574038,0,-0.638923077
28,6,1986,15000000,1,-0.6724844907073882,0,-0.8697512
29,6,1986,12000000,1,-0.7980838581956291,1,0.480741667
30,5,1986,18000000,1,-0.5468851232191475,1,1.033978333
31,6,1986,8700000,1,-0.936243162432694,0,-0.44069977
32,5,1986,12000000,1,-0.7980838581956291,1,0.3287945
