budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,22.08.1986 00:00,Wil Wheaton,Stephen King,1986,1,5.53592675,550
6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11.06.1986 00:00,Matthew Broderick,John Hughes,1986,1,10.68939483,1070
15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,16.05.1986 00:00,Tom Cruise,Jim Cash,1986,1,10.98670673,1100
18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,18.07.1986 00:00,Sigourney Weaver,James Cameron,1986,1,3.603256649,360
9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,1.08.1986 00:00,Joey Cramer,Mark H. Baker,1986,1,1.062734778,110
6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,6.02.1987 00:00,Charlie Sheen,Oliver Stone,1986,1,22.0884275,2210
25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,27.06.1986 00:00,David Bowie,Dennis Lee,1986,0,-0.49080332,-50
6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,23.10.1986 00:00,Isabella Rossellini,David Lynch,1986,1,0.425204667,40
9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,28.02.1986 00:00,Molly Ringwald,John Hughes,1986,1,3.496851444,350
15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,15.08.1986 00:00,Jeff Goldblum,George Langelaan,1986,1,1.697104333,170
8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,26.09.1986 00:00,Paul Hogan,Ken Shadie,1986,1,18.84488636,1880
16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,7.03.1986 00:00,Christopher Lambert,Gregory Widen,1986,0,-0.63125,-60
