,budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm
0,9000000,Walt Disney Pictures,USA,Other,Adventure,18564613,Flight of the Navigator,PG,1.08.1986 00:00,Joey Cramer,Mark H. Baker,1986,1,1.062734778,110,FALSE,10122,tt0091059,Flight of the Navigator,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",Come along on the greatest adventure of the summer!,Flight of the Navigator,"Family, Science Fiction, Adventure",en,US,"artificial intelligence, farewell, homesickness, nasa, extraterrestrial technology, flying saucer, time travel, adventure, alien, kids and family, dog",1986,-0.9236832256838698
1,6000000,Other,USA,Other,Drama,8551228,Blue Velvet,R,23.10.1986 00:00,Isabella Rossellini,David Lynch,1986,1,0.425204667,40,FALSE,793,tt0090756,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",It's a strange world.,Blue Velvet,"Crime, Drama, Mystery, Thriller",en,US,"small town, ear, suspense, independent film, policeman, ear cut off",1986,-1.0492825931721106
2,16000000,Other,Other,Other,Action,5900000,Highlander,R,7.03.1986 00:00,Christopher Lambert,Gregory Widen,1986,0,-0.63125,-60,FALSE,8009,tt0091203,Highlander,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,There can be only one.,Highlander,"Adventure, Action, Fantasy",en,"GB, US","new york, scotland, swordplay, sword, cut-off head, immortality",1986,-0.6306180348779747
3,6000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,8200000,Lucas,PG-13,28.03.1986 00:00,Corey Haim,David Seltzer,1986,1,0.366666667,40,FALSE,13346,tt0091445,Lucas,"A socially inept fourteen year old experiences heartbreak for the first time when his two best friends -- Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love -- fall for each other.",It's about falling in love.  For the first time.,Lucas,"Comedy, Drama, Romance",en,US,"high school, american football team, cheerleading",1986,-1.0492825931721106
4,25000000,Twentieth Century Fox Film Corporation,USA,Other,Action,11100000,Big Trouble in Little China,PG-13,2.07.1986 00:00,Kurt Russell,Gary Goldman,1986,0,-0.556,-60,FALSE,6978,tt0090728,Big Trouble in Little China,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",Adventure doesn't come any bigger!,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy","cn, en",US,"kung fu, chinatown, magic, mystery",1986,-0.2538199324132523
5,15000000,Other,USA,Other,Crime,8620929,Manhunter,R,15.08.1986 00:00,William Petersen,Thomas Harris,1986,0,-0.4252714,-40,FALSE,11454,tt0091474,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",Enter the mind of a serial killer… you may never come back,Manhunter,"Crime, Horror, Thriller",en,US,"loss of family, covered investigation, eye, full moon, investigation, psychopath, psychoterror, serial killer, fbi agent",1986,-0.6724844907073882
6,10000000,Other,USA,Other,Action,7433663,Maximum Overdrive,R,25.07.1986 00:00,Emilio Estevez,Stephen King,1986,0,-0.2566337,-30,FALSE,9980,tt0091499,Maximum Overdrive,"When a comet passes close to the earth, machines all over the world come alive and go on homicidal rampages. A group of people at a desolate truck stop are held hostage by a gang of homicidal 18-wheelers. The frightened people set out to defeat the killer machines ... or be killed by them.",Stephen King's masterpiece of terror directed by the master himself.,Maximum Overdrive,"Action, Drama, Horror, Science Fiction",en,US,"man vs machine, gas station, roadhouse, apparats and technics, siege, lorry, comet, automation, truck, arcade, exploding truck, exploding gasoline station",1986,-0.8818167698544563
7,25000000,Other,USA,Other,Comedy,38747385,Little Shop of Horrors,PG-13,19.12.1986 00:00,Rick Moranis,Howard Ashman,1986,1,0.5498954,50,FALSE,10776,tt0091419,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",Don't feed the plants.,Little Shop of Horrors,"Horror, Comedy, Music",en,US,"flower, solar eclipse, florist, assistant, plant, success, aggression by plant, investigation, nerd, blonde, carnivorous plant, remake, crush, based on play or musical, motorcycle, eclipse, part animated, dentist, bum, killer plant, skid row, based on movie, plant food, flesh eating plant, inept assistant, cult classic, man eating plant",1986,-0.2538199324132523
8,2700000,Other,USA,Other,Action,3500000,The Wraith,PG-13,21.11.1986 00:00,Charlie Sheen,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime",en,"US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986,-1.1874418974091756
9,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,PG,1.08.1986 00:00,Lea Thompson,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction","en, pt",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986,0.1648446258808837
10,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,Dennis Hopper,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,en,US,"hammer, gore, slasher, chainsaw, b horror",1986,-1.1037089857503484
11,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,5.12.1986 00:00,Clint Eastwood,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War","es, en",US,"recruit, officer, battle assignment, marine, platoon, combat",1986,-0.6724844907073882
12,25000000,Paramount Pictures,USA,Other,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26.11.1986 00:00,William Shatner,Gene Roddenberry,1986,1,3.38852528,340,FALSE,168,tt0092007,Star Trek IV: The Voyage Home,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure","en, fi",US,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",1986,-0.2538199324132523
13,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,PG-13,12.12.1986 00:00,Eddie Murphy,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy","cs, en, it",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.2538199324132523
14,1900000,Other,USA,Other,Crime,4600000,River's Edge,R,8.05.1987 00:00,Crispin Glover,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",The most controversial film you will see this year.,River's Edge,"Crime, Drama",en,US,"sex, police, friends, murder",1987,-1.2209350620727064
15,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,PG,12.12.1986 00:00,Steve Martin,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.","They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western","en, de, es",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.2538199324132523
16,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17.10.1986 00:00,Paul Newman,Walter Tevis,1986,1,2.789418986,280,FALSE,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,"en, es",US,"bar, billard, talent, hustler, sport",1986,-0.7227242377026846
