id,rows,columns,categorical,continuous,targated,k-accuracy,k-f1,rf-accuracy,rf-f1,ada-accuracy,ada-f1,gb-accuracy,gb-f1,best
1,3524,32,18,5,2,0.604,0.561,0.669,0.654,0.709,0.698,0.684,0.663,3
2,3524,31,17,5,2,0.581,0.539,0.692,0.667,0.666,0.633,0.69,0.648,2
3,3524,29,16,4,2,0.605,0.371,0.674,0.593,0.644,0.574,0.696,0.608,4
4,3524,28,15,4,2,0.578,0.537,0.677,0.625,0.654,0.609,0.657,0.592,2
5,3524,28,16,3,2,0.645,0.55,0.699,0.642,0.701,0.66,0.717,0.667,4
6,3524,25,12,4,2,0.596,0.566,0.671,0.632,0.667,0.616,0.681,0.636,4
7,3524,23,11,3,2,0.616,0.5,0.702,0.639,0.698,0.646,0.716,0.656,4
8,3524,21,10,2,2,0.567,0.461,0.586,0.501,0.609,0.526,0.603,0.501,3
9,3524,18,0,5,2,0.632,0.545,0.66,0.576,0.652,0.553,0.66,0.571,2
10,3524,28,18,1,2,0.528,0.463,0.565,0.51,0.549,0.485,0.542,0.441,2
11,1761,32,18,5,2,0.665,0.588,0.716,0.636,0.736,0.694,0.761,0.731,4
12,881,32,18,5,2,0.566,0.424,0.673,0.641,0.673,0.611,0.646,0.608,2
