,categorical,continuous,rows,k-f1,rf-f1,ada-f1,gb-f1,columns,best
0,18,5,3524,0.561,0.654,0.698,0.663,32,3
1,17,5,3524,0.539,0.667,0.633,0.648,31,2
2,16,4,3524,0.371,0.593,0.574,0.608,29,4
3,15,4,3524,0.537,0.625,0.609,0.592,28,2
4,16,3,3524,0.55,0.642,0.66,0.667,28,4
5,12,4,3524,0.566,0.632,0.616,0.636,25,4
6,11,3,3524,0.5,0.639,0.646,0.656,23,4
7,10,2,3524,0.461,0.501,0.526,0.501,21,3
8,0,5,3524,0.545,0.576,0.553,0.571,18,2
9,18,1,3524,0.463,0.51,0.485,0.441,28,2
10,18,5,1761,0.588,0.636,0.694,0.731,32,4
11,18,5,881,0.424,0.641,0.611,0.608,32,2
